"";"Anarchism";"Antisemitism";"Capitalism";"Christianity";"Communism";"Conservatism";"Democracy";"Fascism";"Feminism";"Islamophobia";"Left-wing politics";"Liberalism";"Marxism";"Nationalism";"Neo-Nazism";"Protestantism";"Right-wing politics";"Secularism";"Socialism";"White supremacy"
"Richard Lugar (R)";"Richard Lugar>Ukraine>Anarchism";"Richard Lugar>Indiana>Judaism>Antisemitism";"Richard Lugar>Post-Soviet states>Capitalism";"Richard Lugar>Indiana>African Americans>Christianity";"Richard Lugar>Russia>Communism";"Richard Lugar>Supreme Court of the United States>Conservatism";"Richard Lugar>Indiana>James Madison>Democracy";"Richard Lugar>George H. W. Bush>Fascism";"Richard Lugar>Joe Biden>Gender>Feminism";"Richard Lugar>Joe Donnelly>Al-Qaeda>Islamophobia";"Richard Lugar>Ronald Reagan>Left-wing politics";"Richard Lugar>Human rights>Liberalism";"Richard Lugar>Pakistan>Marxism";"Richard Lugar>Treaty of Versailles>Nationalism";"Richard Lugar>Joe Biden>Bosnian War>Neo-Nazism";"Richard Lugar>Indiana>African Americans>Protestantism";"Richard Lugar>Ronald Reagan>Right-wing politics";"Richard Lugar>Human rights>Secularism";"Richard Lugar>Human rights>Socialism";"Richard Lugar>George H. W. Bush>White supremacy"
"Dan Coats (R)";"Dan Coats>Donald Trump>Manhattan>Anarchism";"Dan Coats>Director of National Intelligence>The New York Times>Antisemitism";"Dan Coats>Donald Trump>Economics>Capitalism";"Dan Coats>Donald Trump>Europe>Christianity";"Dan Coats>Donald Trump>Manhattan>Communism";"Dan Coats>Supreme Court of the United States>Conservatism";"Dan Coats>Political science>Democracy";"Dan Coats>Republican Party (United States)>Fascism";"Dan Coats>Donald Trump>Political correctness>Feminism";"Dan Coats>Donald Trump>Political correctness>Islamophobia";"Dan Coats>Donald Trump>Media bias>Left-wing politics";"Dan Coats>Supreme Court of the United States>Liberalism";"Dan Coats>Donald Trump>Screen Actors Guild>Marxism";"Dan Coats>Reuven Rivlin>Nationalism";"Dan Coats>Donald Trump>David Duke>Neo-Nazism";"Dan Coats>Donald Trump>California>Protestantism";"Dan Coats>Republican Party (United States)>Right-wing politics";"Dan Coats>Donald Trump>Europe>Secularism";"Dan Coats>Donald Trump>North Korea>Socialism";"Dan Coats>Donald Trump>Political correctness>White supremacy"
"Tom Harkin (D)";"Tom Harkin>Bob Kerrey>Anarchism";"Tom Harkin>The New York Times>Antisemitism";"Tom Harkin>George H. W. Bush>Capitalism";"Tom Harkin>Iowa>African Americans>Christianity";"Tom Harkin>George H. W. Bush>Communism";"Tom Harkin>Barry Goldwater>Conservatism";"Tom Harkin>Iowa>Abraham Lincoln>Democracy";"Tom Harkin>Jerry Brown>Fascism";"Tom Harkin>Roe v. Wade>Feminism";"Tom Harkin>Iowa>Steve King>Islamophobia";"Tom Harkin>Cooperative>Left-wing politics";"Tom Harkin>Iowa>Veneto>Liberalism";"Tom Harkin>Ted Kennedy>Social justice>Marxism";"Tom Harkin>Iowa>20th century>Nationalism";"Tom Harkin>Iowa>Steve King>Neo-Nazism";"Tom Harkin>Arkansas>Protestantism";"Tom Harkin>Lyndon LaRouche>Right-wing politics";"Tom Harkin>Ted Kennedy>Jesse Helms>Secularism";"Tom Harkin>International Labour Organization>Socialism";"Tom Harkin>George H. W. Bush>White supremacy"
"Chuck Grassley (R)";"Chuck Grassley>Libertarian Party (United States)>Anarchism";"Chuck Grassley>The New York Times>Antisemitism";"Chuck Grassley>Ronald Reagan>Capitalism";"Chuck Grassley>Iowa>African Americans>Christianity";"Chuck Grassley>Iowa>20th century>Communism";"Chuck Grassley>Republican Party (United States)>Conservatism";"Chuck Grassley>Iowa>Abraham Lincoln>Democracy";"Chuck Grassley>Ronald Reagan>Fascism";"Chuck Grassley>McCarthyism>Feminism";"Chuck Grassley>McCarthyism>Islamophobia";"Chuck Grassley>Ronald Reagan>Left-wing politics";"Chuck Grassley>Iowa>Veneto>Liberalism";"Chuck Grassley>Patrick Leahy>China>Marxism";"Chuck Grassley>Iowa>20th century>Nationalism";"Chuck Grassley>Iowa>Steve King>Neo-Nazism";"Chuck Grassley>Iowa>Arkansas>Protestantism";"Chuck Grassley>Ronald Reagan>Right-wing politics";"Chuck Grassley>Jesse Helms>Secularism";"Chuck Grassley>Iowa>Kosovo>Socialism";"Chuck Grassley>Ronald Reagan>White supremacy"
"Tom Harkin (D)";"Tom Harkin>Bob Kerrey>Anarchism";"Tom Harkin>The New York Times>Antisemitism";"Tom Harkin>George H. W. Bush>Capitalism";"Tom Harkin>Iowa>African Americans>Christianity";"Tom Harkin>George H. W. Bush>Communism";"Tom Harkin>Barry Goldwater>Conservatism";"Tom Harkin>Iowa>Abraham Lincoln>Democracy";"Tom Harkin>Jerry Brown>Fascism";"Tom Harkin>Roe v. Wade>Feminism";"Tom Harkin>Iowa>Steve King>Islamophobia";"Tom Harkin>Cooperative>Left-wing politics";"Tom Harkin>Iowa>Veneto>Liberalism";"Tom Harkin>Ted Kennedy>Social justice>Marxism";"Tom Harkin>Iowa>20th century>Nationalism";"Tom Harkin>Iowa>Steve King>Neo-Nazism";"Tom Harkin>Arkansas>Protestantism";"Tom Harkin>Lyndon LaRouche>Right-wing politics";"Tom Harkin>Ted Kennedy>Jesse Helms>Secularism";"Tom Harkin>International Labour Organization>Socialism";"Tom Harkin>George H. W. Bush>White supremacy"
"Chuck Grassley (R)";"Chuck Grassley>Libertarian Party (United States)>Anarchism";"Chuck Grassley>The New York Times>Antisemitism";"Chuck Grassley>Ronald Reagan>Capitalism";"Chuck Grassley>Iowa>African Americans>Christianity";"Chuck Grassley>Iowa>20th century>Communism";"Chuck Grassley>Republican Party (United States)>Conservatism";"Chuck Grassley>Iowa>Abraham Lincoln>Democracy";"Chuck Grassley>Ronald Reagan>Fascism";"Chuck Grassley>McCarthyism>Feminism";"Chuck Grassley>McCarthyism>Islamophobia";"Chuck Grassley>Ronald Reagan>Left-wing politics";"Chuck Grassley>Iowa>Veneto>Liberalism";"Chuck Grassley>Patrick Leahy>China>Marxism";"Chuck Grassley>Iowa>20th century>Nationalism";"Chuck Grassley>Iowa>Steve King>Neo-Nazism";"Chuck Grassley>Iowa>Arkansas>Protestantism";"Chuck Grassley>Ronald Reagan>Right-wing politics";"Chuck Grassley>Jesse Helms>Secularism";"Chuck Grassley>Iowa>Kosovo>Socialism";"Chuck Grassley>Ronald Reagan>White supremacy"
"Rand Paul (R)";"Rand Paul>Ayn Rand>Anarchism";"Rand Paul>Al-Qaeda>Antisemitism";"Rand Paul>Ayn Rand>Capitalism";"Rand Paul>Baptism>Christianity";"Rand Paul>Ayn Rand>Communism";"Rand Paul>Ayn Rand>Conservatism";"Rand Paul>Ayn Rand>Democracy";"Rand Paul>Ayn Rand>Fascism";"Rand Paul>Kentucky>Racial segregation>Feminism";"Rand Paul>Al-Qaeda>Islamophobia";"Rand Paul>Ronald Reagan>Left-wing politics";"Rand Paul>Ayn Rand>Liberalism";"Rand Paul>Al-Qaeda>Marxism";"Rand Paul>Kentucky>Abraham Lincoln>Nationalism";"Rand Paul>Bashar al-Assad>Neo-Nazism";"Rand Paul>Baptism>Protestantism";"Rand Paul>Ayn Rand>Right-wing politics";"Rand Paul>Ayn Rand>Secularism";"Rand Paul>Ayn Rand>Socialism";"Rand Paul>George H. W. Bush>White supremacy"
"Mitch McConnell (R)";"Mitch McConnell>Chicago>Anarchism";"Mitch McConnell>The New York Times>Antisemitism";"Mitch McConnell>George H. W. Bush>Capitalism";"Mitch McConnell>Kentucky>Evangelicalism>Christianity";"Mitch McConnell>International Monetary Fund>Communism";"Mitch McConnell>Supreme Court of the United States>Conservatism";"Mitch McConnell>International Monetary Fund>Democracy";"Mitch McConnell>George H. W. Bush>Fascism";"Mitch McConnell>Kentucky>Racial segregation>Feminism";"Mitch McConnell>Kentucky>Muslim>Islamophobia";"Mitch McConnell>Ronald Reagan>Left-wing politics";"Mitch McConnell>Supreme Court of the United States>Liberalism";"Mitch McConnell>Kentucky>Head of state>Marxism";"Mitch McConnell>Kentucky>Abraham Lincoln>Nationalism";"Mitch McConnell>Kentucky>American Civil Liberties Union>Neo-Nazism";"Mitch McConnell>Kentucky>Arkansas>Protestantism";"Mitch McConnell>Ronald Reagan>Right-wing politics";"Mitch McConnell>Kentucky>Evangelicalism>Secularism";"Mitch McConnell>Rand Paul>Ayn Rand>Socialism";"Mitch McConnell>George H. W. Bush>White supremacy"
"Mary Landrieu (D)";"Mary Landrieu>Louisiana>Thomas Paine>Anarchism";"Mary Landrieu>The New York Times>Antisemitism";"Mary Landrieu>Louisiana>Thomas Paine>Capitalism";"Mary Landrieu>Louisiana>Alaska>Christianity";"Mary Landrieu>Louisiana>Germany>Communism";"Mary Landrieu>Rush Limbaugh>Conservatism";"Mary Landrieu>Louisiana>Abraham Lincoln>Democracy";"Mary Landrieu>Republican Party (United States)>Fascism";"Mary Landrieu>Louisiana>Thomas Paine>Feminism";"Mary Landrieu>Lynching>Islamophobia";"Mary Landrieu>Rush Limbaugh>Left-wing politics";"Mary Landrieu>Louisiana>Thomas Paine>Liberalism";"Mary Landrieu>Louisiana>Canary Islands>Marxism";"Mary Landrieu>Louisiana>Thomas Paine>Nationalism";"Mary Landrieu>David Duke>Neo-Nazism";"Mary Landrieu>Louisiana>Arkansas>Protestantism";"Mary Landrieu>Republican Party (United States)>Right-wing politics";"Mary Landrieu>Louisiana>Culture of France>Secularism";"Mary Landrieu>Ron Wyden>Trade union>Socialism";"Mary Landrieu>Louisiana>White supremacy"
"David Vitter (R)";"David Vitter>Libertarian Party (United States)>Anarchism";"David Vitter>The New York Times>Antisemitism";"David Vitter>Ronald Reagan>Capitalism";"David Vitter>Alabama>Christianity";"David Vitter>Adultery>Communism";"David Vitter>Political conservative>Conservatism";"David Vitter>Sovereignty>Democracy";"David Vitter>Intelligent design>Fascism";"David Vitter>Louisiana>Thomas Paine>Feminism";"David Vitter>White nationalism>Islamophobia";"David Vitter>Hustler>Left-wing politics";"David Vitter>Libertarian Party (United States)>Anarchism>Liberalism";"David Vitter>Louisiana>Canary Islands>Marxism";"David Vitter>World War II>Nationalism";"David Vitter>David Duke>Neo-Nazism";"David Vitter>Louisiana>Alberta>Protestantism";"David Vitter>Ronald Reagan>Right-wing politics";"David Vitter>Intelligent design>Secularism";"David Vitter>Libertarian Party (United States)>Anarchism>Socialism";"David Vitter>Louisiana>White supremacy"
"Olympia Snowe (R)";"Olympia Snowe>John Kerry>Politics>Anarchism";"Olympia Snowe>The New York Times>Antisemitism";"Olympia Snowe>Afghanistan>Capitalism";"Olympia Snowe>United States Senate Committee on Small Business and Entrepreneurship>Alabama>Christianity";"Olympia Snowe>Afghanistan>Communism";"Olympia Snowe>Republican Party (United States)>Conservatism";"Olympia Snowe>Political science>Democracy";"Olympia Snowe>Afghanistan>Fascism";"Olympia Snowe>Maine>Slavery>Feminism";"Olympia Snowe>John Kerry>Taliban>Islamophobia";"Olympia Snowe>John Kerry>Politics>Left-wing politics";"Olympia Snowe>Maine>American Revolution>Liberalism";"Olympia Snowe>John Kerry>Imperialism>Marxism";"Olympia Snowe>Afghanistan>Nationalism";"Olympia Snowe>John Kerry>Terrorism>Neo-Nazism";"Olympia Snowe>United States Senate Committee on Small Business and Entrepreneurship>Arkansas>Protestantism";"Olympia Snowe>Republican Party (United States)>Right-wing politics";"Olympia Snowe>John Kerry>Judaism>Secularism";"Olympia Snowe>Kosovo>Socialism";"Olympia Snowe>Afghanistan>White supremacy"
"Susan Collins (R)";"Susan Collins>Maine>Italian Americans>Anarchism";"Susan Collins>The New York Times>Antisemitism";"Susan Collins>George H. W. Bush>Capitalism";"Susan Collins>Colombia>Christianity";"Susan Collins>George H. W. Bush>Communism";"Susan Collins>Republican Party (United States)>Conservatism";"Susan Collins>Maine>American Revolution>Democracy";"Susan Collins>George H. W. Bush>Fascism";"Susan Collins>LGBT>Feminism";"Susan Collins>Maine>Slavery>Islamophobia";"Susan Collins>Right-wing politics>Left-wing politics";"Susan Collins>Maine>American Revolution>Liberalism";"Susan Collins>Maine>Personal property>Marxism";"Susan Collins>Maine>Iceland>Nationalism";"Susan Collins>Angus King>Bashar al-Assad>Neo-Nazism";"Susan Collins>Colombia>Protestantism";"Susan Collins>Republican Party (United States)>Right-wing politics";"Susan Collins>Maine>American Revolution>Secularism";"Susan Collins>North Korea>Socialism";"Susan Collins>George H. W. Bush>White supremacy"
"Ben Cardin (D)";"Ben Cardin>Libertarian Party (United States)>Anarchism";"Ben Cardin>The New York Times>Antisemitism";"Ben Cardin>Human rights>Capitalism";"Ben Cardin>Bob Menendez>Cyprus>Christianity";"Ben Cardin>Russia>Communism";"Ben Cardin>Republican Party (United States)>Conservatism";"Ben Cardin>Romania>Democracy";"Ben Cardin>Republican Party (United States)>Fascism";"Ben Cardin>Barbara Mikulski>Racism>Feminism";"Ben Cardin>Barbara Mikulski>Racism>Islamophobia";"Ben Cardin>Paul Sarbanes>Balliol College, Oxford>Left-wing politics";"Ben Cardin>Human rights>Liberalism";"Ben Cardin>Chris Van Hollen>Sri Lanka>Marxism";"Ben Cardin>Chris Van Hollen>Afghanistan>Nationalism";"Ben Cardin>Democratic Party (United States)>White supremacy>Neo-Nazism";"Ben Cardin>United States Senate Committee on Foreign Relations>Delaware>Protestantism";"Ben Cardin>Republican Party (United States)>Right-wing politics";"Ben Cardin>Human rights>Secularism";"Ben Cardin>Human rights>Socialism";"Ben Cardin>Chris Van Hollen>Afghanistan>White supremacy"
"Barbara Mikulski (D)";"Barbara Mikulski>Maryland>Nation state>Anarchism";"Barbara Mikulski>Misogyny>Antisemitism";"Barbara Mikulski>Maryland>American Revolution>Capitalism";"Barbara Mikulski>Maryland>Belgium>Christianity";"Barbara Mikulski>Maryland>Thomas More>Communism";"Barbara Mikulski>Republican Party (United States)>Conservatism";"Barbara Mikulski>Maryland>American Revolution>Democracy";"Barbara Mikulski>Racism>Fascism";"Barbara Mikulski>Misogyny>Feminism";"Barbara Mikulski>Misogyny>Islamophobia";"Barbara Mikulski>Maryland>World War II>Left-wing politics";"Barbara Mikulski>Racism>Liberalism";"Barbara Mikulski>Misogyny>Marxism";"Barbara Mikulski>Racism>Nationalism";"Barbara Mikulski>United States>Henry Ford>Neo-Nazism";"Barbara Mikulski>Maryland>Delaware>Protestantism";"Barbara Mikulski>Republican Party (United States)>Right-wing politics";"Barbara Mikulski>Maryland>American Revolution>Secularism";"Barbara Mikulski>Maryland>Nation state>Socialism";"Barbara Mikulski>Misogyny>White supremacy"
"Scott Brown (politician) (R)";"Scott Brown (politician)>Conscientious objector>Anarchism";"Scott Brown (politician)>Chinese Exclusion Act>Antisemitism";"Scott Brown (politician)>Afghanistan>Capitalism";"Scott Brown (politician)>American Civil Liberties Union>Alabama>Christianity";"Scott Brown (politician)>Afghanistan>Communism";"Scott Brown (politician)>Republican Party (United States)>Conservatism";"Scott Brown (politician)>Kazakhstan>Democracy";"Scott Brown (politician)>Afghanistan>Fascism";"Scott Brown (politician)>Roe v. Wade>Feminism";"Scott Brown (politician)>Chinese Exclusion Act>Islamophobia";"Scott Brown (politician)>Donald Trump>Media bias>Left-wing politics";"Scott Brown (politician)>New Jersey>Liberalism";"Scott Brown (politician)>Donald Trump>Screen Actors Guild>Marxism";"Scott Brown (politician)>Afghanistan>Nationalism";"Scott Brown (politician)>American Civil Liberties Union>Neo-Nazism";"Scott Brown (politician)>Kazakhstan>Protestantism";"Scott Brown (politician)>Republican Party (United States)>Right-wing politics";"Scott Brown (politician)>Afghanistan>Azerbaijan>Secularism";"Scott Brown (politician)>Conscientious objector>Anarchism>Socialism";"Scott Brown (politician)>Afghanistan>White supremacy"
"John Kerry (D)";"John Kerry>Chicago>Anarchism";"John Kerry>Bible>Antisemitism";"John Kerry>South Vietnam>Capitalism";"John Kerry>Bible>Christianity";"John Kerry>Capital punishment>Communism";"John Kerry>Republican Party (United States)>Conservatism";"John Kerry>Imperialism>Democracy";"John Kerry>Politics>Fascism";"John Kerry>Barack Obama>Feminist>Feminism";"John Kerry>Taliban>Islamophobia";"John Kerry>Leftist>Left-wing politics";"John Kerry>Chicago>Anarchism>Liberalism";"John Kerry>Daniel Ortega>Marxism";"John Kerry>Judaism>Nationalism";"John Kerry>Terrorism>Neo-Nazism";"John Kerry>Bible>Protestantism";"John Kerry>Politics>Right-wing politics";"John Kerry>Judaism>Secularism";"John Kerry>Chicago>Anarchism>Socialism";"John Kerry>George H. W. Bush>White supremacy"
"Debbie Stabenow (D)";"Debbie Stabenow>Chuck Schumer>Ukraine>Anarchism";"Debbie Stabenow>Michigan>Judaism>Antisemitism";"Debbie Stabenow>Michigan>American Revolution>Capitalism";"Debbie Stabenow>Michigan>African Americans>Christianity";"Debbie Stabenow>Michigan>George H. W. Bush>Communism";"Debbie Stabenow>Supreme Court of the United States>Conservatism";"Debbie Stabenow>Michigan>American Revolution>Democracy";"Debbie Stabenow>Michigan>Republican Party (United States)>Fascism";"Debbie Stabenow>Chuck Schumer>Roe v. Wade>Feminism";"Debbie Stabenow>Chuck Schumer>Al-Qaeda>Islamophobia";"Debbie Stabenow>Michigan>University of Michigan>Left-wing politics";"Debbie Stabenow>Supreme Court of the United States>Liberalism";"Debbie Stabenow>Michigan>Christianity>Marxism";"Debbie Stabenow>Michigan>World War II>Nationalism";"Debbie Stabenow>Michigan>Henry Ford>Neo-Nazism";"Debbie Stabenow>Michigan>Manitoba>Protestantism";"Debbie Stabenow>Michigan>Republican Party (United States)>Right-wing politics";"Debbie Stabenow>Michigan>American Revolution>Secularism";"Debbie Stabenow>Michigan>Christianity>Socialism";"Debbie Stabenow>Louisiana>White supremacy"
"Carl Levin (D)";"Carl Levin>United States Senate Committee on Armed Services>Barry Goldwater>Anarchism";"Carl Levin>Al-Qaeda>Antisemitism";"Carl Levin>Post-Soviet states>Capitalism";"Carl Levin>Michigan>African Americans>Christianity";"Carl Levin>American Civil Liberties Union>Communism";"Carl Levin>Republican Party (United States)>Conservatism";"Carl Levin>Political science>Democracy";"Carl Levin>Joseph Stalin>Fascism";"Carl Levin>John Warner>Hate crime>Feminism";"Carl Levin>Al-Qaeda>Islamophobia";"Carl Levin>Michigan>University of Michigan>Left-wing politics";"Carl Levin>Joseph Stalin>Liberalism";"Carl Levin>Joseph Stalin>Marxism";"Carl Levin>Judaism>Nationalism";"Carl Levin>American Civil Liberties Union>Neo-Nazism";"Carl Levin>Delaware>Protestantism";"Carl Levin>Republican Party (United States)>Right-wing politics";"Carl Levin>Judaism>Secularism";"Carl Levin>Astronaut>Socialism";"Carl Levin>Joseph Stalin>White supremacy"
"Amy Klobuchar (D)";"Amy Klobuchar>Minnesota>Political party>Anarchism";"Amy Klobuchar>The New York Times>Antisemitism";"Amy Klobuchar>Minnesota>Ronald Reagan>Capitalism";"Amy Klobuchar>Minnesota>Alaska>Christianity";"Amy Klobuchar>Hubert Humphrey>Communism";"Amy Klobuchar>Republican Party (United States)>Conservatism";"Amy Klobuchar>Tina Smith>Political science>Democracy";"Amy Klobuchar>Republican Party (United States)>Fascism";"Amy Klobuchar>LGBT>Feminism";"Amy Klobuchar>Minnesota>Mosque>Islamophobia";"Amy Klobuchar>Minnesota Democratic–Farmer–Labor Party>Left-wing politics";"Amy Klobuchar>Hubert Humphrey>Liberalism";"Amy Klobuchar>Minnesota>Christianity>Marxism";"Amy Klobuchar>Minnesota>Germany>Nationalism";"Amy Klobuchar>Democratic Party (United States)>White supremacy>Neo-Nazism";"Amy Klobuchar>Minnesota>Manitoba>Protestantism";"Amy Klobuchar>Republican Party (United States)>Right-wing politics";"Amy Klobuchar>Minnesota>Germany>Secularism";"Amy Klobuchar>Minnesota>Christianity>Socialism";"Amy Klobuchar>Yale University>White supremacy"
"Al Franken (D)";"Al Franken>Minnesota>Political party>Anarchism";"Al Franken>Bible>Antisemitism";"Al Franken>Satire>Capitalism";"Al Franken>Bible>Christianity";"Al Franken>Minnesota>Germany>Communism";"Al Franken>Republican Party (United States)>Conservatism";"Al Franken>Colin Powell>Democracy";"Al Franken>Corporation>Fascism";"Al Franken>Minnesota>Mankato, Minnesota>Feminism";"Al Franken>Minnesota>Mosque>Islamophobia";"Al Franken>Minnesota Democratic–Farmer–Labor Party>Left-wing politics";"Al Franken>Political satire>Liberalism";"Al Franken>Minnesota>Christianity>Marxism";"Al Franken>Satire>Nationalism";"Al Franken>New York City>Terrorism>Neo-Nazism";"Al Franken>Bible>Protestantism";"Al Franken>Republican Party (United States)>Right-wing politics";"Al Franken>Minnesota>Germany>Secularism";"Al Franken>Minnesota>Christianity>Socialism";"Al Franken>Minnesota>Ronald Reagan>White supremacy"
"Roger Wicker (R)";"Roger Wicker>Secular humanism>Anarchism";"Roger Wicker>The New York Times>Antisemitism";"Roger Wicker>Jimmy Carter>Capitalism";"Roger Wicker>Mississippi>Alabama>Christianity";"Roger Wicker>Jimmy Carter>Communism";"Roger Wicker>Secular humanism>Conservatism";"Roger Wicker>Mississippi>American Revolution>Democracy";"Roger Wicker>Jimmy Carter>Fascism";"Roger Wicker>Mississippi>White supremacy>Feminism";"Roger Wicker>Mississippi>White supremacy>Islamophobia";"Roger Wicker>Self-determination>Left-wing politics";"Roger Wicker>Mississippi>American Revolution>Liberalism";"Roger Wicker>Mississippi>Social capital>Marxism";"Roger Wicker>Self-determination>Nationalism";"Roger Wicker>Mississippi>White supremacy>Neo-Nazism";"Roger Wicker>Mississippi>Arkansas>Protestantism";"Roger Wicker>Republican Party (United States)>Right-wing politics";"Roger Wicker>Secular humanism>Secularism";"Roger Wicker>Mississippi>Christianity>Socialism";"Roger Wicker>Jimmy Carter>White supremacy"
"Thad Cochran (R)";"Thad Cochran>Mississippi>Chicago>Anarchism";"Thad Cochran>The New York Times>Antisemitism";"Thad Cochran>Ronald Reagan>Capitalism";"Thad Cochran>Mississippi>Alabama>Christianity";"Thad Cochran>Mississippi>Marilyn Monroe>Communism";"Thad Cochran>Republican Party (United States)>Conservatism";"Thad Cochran>Political science>Democracy";"Thad Cochran>Ronald Reagan>Fascism";"Thad Cochran>Mississippi>White supremacy>Feminism";"Thad Cochran>Mississippi>White supremacy>Islamophobia";"Thad Cochran>Ronald Reagan>Left-wing politics";"Thad Cochran>Mississippi>American Revolution>Liberalism";"Thad Cochran>Mississippi>Social capital>Marxism";"Thad Cochran>Mississippi>World War II>Nationalism";"Thad Cochran>Mississippi>White supremacy>Neo-Nazism";"Thad Cochran>Mississippi>Arkansas>Protestantism";"Thad Cochran>Ronald Reagan>Right-wing politics";"Thad Cochran>Mississippi>American Revolution>Secularism";"Thad Cochran>Mississippi>Christianity>Socialism";"Thad Cochran>Psychology>White supremacy"
"Claire McCaskill (D)";"Claire McCaskill>Missouri>Personal property>Anarchism";"Claire McCaskill>The New York Times>Antisemitism";"Claire McCaskill>Missouri>Guerrilla warfare>Capitalism";"Claire McCaskill>Missouri>African Americans>Christianity";"Claire McCaskill>Roy Blunt>American Civil Liberties Union>Communism";"Claire McCaskill>Republican Party (United States)>Conservatism";"Claire McCaskill>Political science>Democracy";"Claire McCaskill>Republican Party (United States)>Fascism";"Claire McCaskill>Missouri>Homeschooling>Feminism";"Claire McCaskill>Democratic Party (United States)>White supremacy>Islamophobia";"Claire McCaskill>Jim Talent>Conservatism>Left-wing politics";"Claire McCaskill>Missouri>Guerrilla warfare>Liberalism";"Claire McCaskill>Missouri>Guerrilla warfare>Marxism";"Claire McCaskill>Missouri>Guerrilla warfare>Nationalism";"Claire McCaskill>Roy Blunt>American Civil Liberties Union>Neo-Nazism";"Claire McCaskill>Missouri>Arkansas>Protestantism";"Claire McCaskill>Republican Party (United States)>Right-wing politics";"Claire McCaskill>Missouri>Common Era>Secularism";"Claire McCaskill>Missouri>Guerrilla warfare>Socialism";"Claire McCaskill>Missouri>African Americans>White supremacy"
"Roy Blunt (R)";"Roy Blunt>Missouri>Personal property>Anarchism";"Roy Blunt>Missouri>Walt Disney>Antisemitism";"Roy Blunt>Missouri>Guerrilla warfare>Capitalism";"Roy Blunt>Missouri>African Americans>Christianity";"Roy Blunt>American Civil Liberties Union>Communism";"Roy Blunt>Republican Party (United States)>Conservatism";"Roy Blunt>Missouri>Sudan>Democracy";"Roy Blunt>Republican Party (United States)>Fascism";"Roy Blunt>Missouri>Homeschooling>Feminism";"Roy Blunt>Richard Shelby>Al-Qaeda>Islamophobia";"Roy Blunt>Richard Shelby>Ronald Reagan>Left-wing politics";"Roy Blunt>Missouri>Guerrilla warfare>Liberalism";"Roy Blunt>Missouri>Guerrilla warfare>Marxism";"Roy Blunt>Missouri>Guerrilla warfare>Nationalism";"Roy Blunt>American Civil Liberties Union>Neo-Nazism";"Roy Blunt>Missouri>Arkansas>Protestantism";"Roy Blunt>Republican Party (United States)>Right-wing politics";"Roy Blunt>Missouri>Common Era>Secularism";"Roy Blunt>Minimum wage>Socialism";"Roy Blunt>Southern Baptist Convention>White supremacy"
"Jon Tester (D)";"Jon Tester>Montana>Socialism>Anarchism";"Jon Tester>Richard Blumenthal>The Bronx>Antisemitism";"Jon Tester>Montana>British Columbia>Capitalism";"Jon Tester>Montana>British Columbia>Christianity";"Jon Tester>Montana>Cuban Missile Crisis>Communism";"Jon Tester>Supreme Court of the United States>Conservatism";"Jon Tester>Montana>Socialism>Democracy";"Jon Tester>Republican Party (United States)>Fascism";"Jon Tester>Montana>Socialism>Feminism";"Jon Tester>Montana>Lynching>Islamophobia";"Jon Tester>Montana>British Columbia>Left-wing politics";"Jon Tester>Supreme Court of the United States>Liberalism";"Jon Tester>Montana>Socialism>Marxism";"Jon Tester>Montana>Patriotism>Nationalism";"Jon Tester>Conrad Burns>American Civil Liberties Union>Neo-Nazism";"Jon Tester>Montana>Protestantism";"Jon Tester>Republican Party (United States)>Right-wing politics";"Jon Tester>Montana>Hindu>Secularism";"Jon Tester>Montana>Socialism";"Jon Tester>Montana>Lynching>White supremacy"
"Max Baucus (D)";"Max Baucus>Privatization>Anarchism";"Max Baucus>The New York Times>Antisemitism";"Max Baucus>British Columbia>Capitalism";"Max Baucus>British Columbia>Christianity";"Max Baucus>American Civil Liberties Union>Communism";"Max Baucus>United States Ambassador to China>Kuomintang>Conservatism";"Max Baucus>United States Ambassador to China>Communist Party of China>Democracy";"Max Baucus>United States Ambassador to China>Communist Party of China>Fascism";"Max Baucus>Barack Obama>Feminist>Feminism";"Max Baucus>Barack Obama>Al-Qaeda>Islamophobia";"Max Baucus>British Columbia>Left-wing politics";"Max Baucus>New Jersey>Liberalism";"Max Baucus>Daniel Patrick Moynihan>Marxism";"Max Baucus>Barack Obama>Indonesian language>Nationalism";"Max Baucus>American Civil Liberties Union>Neo-Nazism";"Max Baucus>British Columbia>Protestantism";"Max Baucus>Barack Obama>Republican Party (United States)>Right-wing politics";"Max Baucus>Barack Obama>Muammar Gaddafi>Secularism";"Max Baucus>British Columbia>Socialism";"Max Baucus>United States Ambassador to China>Communist Party of China>White supremacy"
