"";"Anarchism";"Antisemitism";"Capitalism";"Christianity";"Communism";"Conservatism";"Democracy";"Fascism";"Feminism";"Islamophobia";"Left-wing politics";"Liberalism";"Marxism";"Nationalism";"Neo-Nazism";"Protestantism";"Right-wing politics";"Secularism";"Socialism";"White supremacy"
"Mike Simpson (R)";"Mike Simpson>Libertarian Party (United States)>Anarchism";"Mike Simpson>Affirmative action>Antisemitism";"Mike Simpson>Libertarian Party (United States)>Capitalism";"Mike Simpson>Idaho>British Columbia>Christianity";"Mike Simpson>American Civil Liberties Union>Communism";"Mike Simpson>Republican Party (United States)>Conservatism";"Mike Simpson>Idaho>New Age>Democracy";"Mike Simpson>Republican Party (United States)>Fascism";"Mike Simpson>LGBT>Feminism";"Mike Simpson>Affirmative action>Islamophobia";"Mike Simpson>Idaho>British Columbia>Left-wing politics";"Mike Simpson>Idaho>New Age>Liberalism";"Mike Simpson>Washington University in St. Louis>Marxism";"Mike Simpson>Idaho>Judaism>Nationalism";"Mike Simpson>American Civil Liberties Union>Neo-Nazism";"Mike Simpson>Idaho>Montana>Protestantism";"Mike Simpson>Republican Party (United States)>Right-wing politics";"Mike Simpson>Idaho>United Kingdom>Secularism";"Mike Simpson>Idaho>Montana>Socialism";"Mike Simpson>Affirmative action>White supremacy"
"Bobby Rush (D)";"Bobby Rush>Chicago>Anarchism";"Bobby Rush>Illinois>Bible>Antisemitism";"Bobby Rush>Libertarian Party (United States)>Capitalism";"Bobby Rush>Illinois>Bible>Christianity";"Bobby Rush>Ghana>Communism";"Bobby Rush>Republican Party (United States)>Conservatism";"Bobby Rush>Political science>Democracy";"Bobby Rush>Republican Party (United States)>Fascism";"Bobby Rush>Illinois>Age of consent>Feminism";"Bobby Rush>Racial profiling>Islamophobia";"Bobby Rush>Illinois>Ronald Reagan>Left-wing politics";"Bobby Rush>Democratic Party (United States)>Two-party system>Liberalism";"Bobby Rush>Illinois>Orchestra>Marxism";"Bobby Rush>Illinois>Abraham Lincoln>Nationalism";"Bobby Rush>Illinois>Skokie, Illinois>Neo-Nazism";"Bobby Rush>Illinois>California>Protestantism";"Bobby Rush>Republican Party (United States)>Right-wing politics";"Bobby Rush>Theology>Secularism";"Bobby Rush>Ghana>Socialism";"Bobby Rush>Civil rights movement>White supremacy"
"Jesse Jackson Jr. (D)";"Jesse Jackson Jr.>Political spectrum>Anarchism";"Jesse Jackson Jr.>Political spectrum>Antisemitism";"Jesse Jackson Jr.>George H. W. Bush>Capitalism";"Jesse Jackson Jr.>Baptists>Christianity";"Jesse Jackson Jr.>Condoleezza Rice>Communism";"Jesse Jackson Jr.>Political spectrum>Conservatism";"Jesse Jackson Jr.>Colin Powell>Democracy";"Jesse Jackson Jr.>George H. W. Bush>Fascism";"Jesse Jackson Jr.>Green Party of the United States>Feminism";"Jesse Jackson Jr.>Louis Farrakhan>Allah>Islamophobia";"Jesse Jackson Jr.>Political spectrum>Left-wing politics";"Jesse Jackson Jr.>Political spectrum>Liberalism";"Jesse Jackson Jr.>Social justice>Marxism";"Jesse Jackson Jr.>Political spectrum>Nationalism";"Jesse Jackson Jr.>Illinois>Skokie, Illinois>Neo-Nazism";"Jesse Jackson Jr.>Baptists>Protestantism";"Jesse Jackson Jr.>Political spectrum>Right-wing politics";"Jesse Jackson Jr.>Political spectrum>Secularism";"Jesse Jackson Jr.>Minimum wage>Socialism";"Jesse Jackson Jr.>George H. W. Bush>White supremacy"
"Dan Lipinski (D)";"Dan Lipinski>Chicago>Anarchism";"Dan Lipinski>Illinois>Bible>Antisemitism";"Dan Lipinski>Democracy>Capitalism";"Dan Lipinski>Illinois>Bible>Christianity";"Dan Lipinski>Democracy>Communism";"Dan Lipinski>Democracy>Conservatism";"Dan Lipinski>Political science>Democracy";"Dan Lipinski>Democracy>Fascism";"Dan Lipinski>Democracy>Feminism";"Dan Lipinski>Universal suffrage>Islamophobia";"Dan Lipinski>Blue Dog Coalition>Left-wing politics";"Dan Lipinski>Democracy>Liberalism";"Dan Lipinski>Democracy>Marxism";"Dan Lipinski>Democracy>Nationalism";"Dan Lipinski>Illinois>Skokie, Illinois>Neo-Nazism";"Dan Lipinski>Illinois>California>Protestantism";"Dan Lipinski>Blue Dog Coalition>Right-wing politics";"Dan Lipinski>Illinois>Missionary>Secularism";"Dan Lipinski>Democracy>Socialism";"Dan Lipinski>University of Notre Dame>White supremacy"
"Luis Gutierrez (D)";"Luis Gutierrez>Chicago>Anarchism";"Luis Gutierrez>Gerrymandering>Antisemitism";"Luis Gutierrez>Libertarian Party (United States)>Capitalism";"Luis Gutierrez>Illinois>Bible>Christianity";"Luis Gutierrez>Civil disobedience>Communism";"Luis Gutierrez>Civil disobedience>Conservatism";"Luis Gutierrez>Illinois>Abraham Lincoln>Democracy";"Luis Gutierrez>Civil disobedience>Fascism";"Luis Gutierrez>Gerrymandering>Feminism";"Luis Gutierrez>Gerrymandering>Islamophobia";"Luis Gutierrez>Social justice>Left-wing politics";"Luis Gutierrez>Civil disobedience>Liberalism";"Luis Gutierrez>Social justice>Marxism";"Luis Gutierrez>Civil disobedience>Nationalism";"Luis Gutierrez>Illinois>Skokie, Illinois>Neo-Nazism";"Luis Gutierrez>Illinois>California>Protestantism";"Luis Gutierrez>Illinois>Republican Party (United States)>Right-wing politics";"Luis Gutierrez>Illinois>Missionary>Secularism";"Luis Gutierrez>Illinois>Age of consent>Socialism";"Luis Gutierrez>Gerrymandering>White supremacy"
"Michael Quigley (D)";"Mike Quigley (politician)>Chicago>Anarchism";"Mike Quigley (politician)>Illinois>Bible>Antisemitism";"Mike Quigley (politician)>Illinois>Ronald Reagan>Capitalism";"Mike Quigley (politician)>Illinois>Bible>Christianity";"Mike Quigley (politician)>Illinois>Eastern Europe>Communism";"Mike Quigley (politician)>University of Chicago>Conservatism";"Mike Quigley (politician)>Illinois>Abraham Lincoln>Democracy";"Mike Quigley (politician)>Illinois>Republican Party (United States)>Fascism";"Mike Quigley (politician)>United_States House of Representatives>Gerrymandering>Feminism";"Mike Quigley (politician)>Illinois>Muslim>Islamophobia";"Mike Quigley (politician)>Illinois>Ronald Reagan>Left-wing politics";"Michael J. Quigley>New Jersey>Liberalism";"Mike Quigley (politician)>Illinois>Orchestra>Marxism";"Mike Quigley (politician)>Illinois>Abraham Lincoln>Nationalism";"Mike Quigley (politician)>Illinois>Skokie, Illinois>Neo-Nazism";"Mike Quigley (politician)>Illinois>California>Protestantism";"Mike Quigley (politician)>Illinois>Republican Party (United States)>Right-wing politics";"Michael J. Quigley>United Kingdom>Secularism";"Mike Quigley (politician)>Illinois>Age of consent>Socialism";"Mike Quigley (politician)>Illinois>Abraham Lincoln>White supremacy"
"Peter Roskam (R)";"Peter Roskam>Illinois>Chicago>Anarchism";"Peter Roskam>Al-Qaeda>Antisemitism";"Peter Roskam>Illinois>Ronald Reagan>Capitalism";"Peter Roskam>Illinois>Bible>Christianity";"Peter Roskam>Illinois>Eastern Europe>Communism";"Peter Roskam>Republican Party (United States)>Conservatism";"Peter Roskam>Political science>Democracy";"Peter Roskam>Republican Party (United States)>Fascism";"Peter Roskam>Right-wing politics>Feminism";"Peter Roskam>Al-Qaeda>Islamophobia";"Peter Roskam>Right-wing politics>Left-wing politics";"Peter Roskam>Henry Hyde>Capitalism>Liberalism";"Peter Roskam>Al-Qaeda>Marxism";"Peter Roskam>Illinois>Abraham Lincoln>Nationalism";"Peter Roskam>Hamas>Neo-Nazism";"Peter Roskam>Illinois>California>Protestantism";"Peter Roskam>Republican Party (United States)>Right-wing politics";"Peter Roskam>Illinois>Missionary>Secularism";"Peter Roskam>Illinois>Age of consent>Socialism";"Peter Roskam>Illinois>Abraham Lincoln>White supremacy"
"Joe Walsh (R)";"Joe Walsh>Los Angeles>Chicago>Anarchism";"Joe Walsh>Troubadour (West Hollywood, California)>Billy Joel>Antisemitism";"Joe Walsh>Sydney>Capitalism";"Joe Walsh>Christmas>Christianity";"Joe Walsh>Los Angeles>May Day>Communism";"Joe Walsh>Wichita, Kansas>Conservatism";"Joe Walsh>Bill Clinton>Abraham Lincoln>Democracy";"Joe Walsh>country rock>Netherlands>Fascism";"Joe Walsh>Troubadour (West Hollywood, California)>Stone Temple Pilots>Feminism";"Joe Walsh>Bill Clinton>Al-Qaeda>Islamophobia";"Joe Walsh>Troubadour (West Hollywood, California)>Rod Stewart>Left-wing politics";"Joe Walsh>Columbus, Ohio>American Revolution>Liberalism";"Joe Walsh>Los Angeles>City>Marxism";"Joe Walsh>Los Angeles>World War II>Nationalism";"Joe Walsh>Troubadour (West Hollywood, California)>Punk rock>Neo-Nazism";"Joe Walsh>California>Protestantism";"Joe Walsh>Los Angeles>Voice of America>Right-wing politics";"Joe Walsh>Columbus, Ohio>American Revolution>Secularism";"Joe Walsh>Boulder, Colorado>Astronaut>Socialism";"Joe Walsh>Los Angeles>Multiculturalism>White supremacy"
"Jan Schakowsky (D)";"Jan Schakowsky>Chicago>Anarchism";"Jan Schakowsky>Illinois>Bible>Antisemitism";"Jan Schakowsky>Libertarian Party (United States)>Capitalism";"Jan Schakowsky>Illinois>Bible>Christianity";"Jan Schakowsky>Illinois>Eastern Europe>Communism";"Jan Schakowsky>Illinois>Republican Party (United States)>Conservatism";"Jan Schakowsky>Illinois>Abraham Lincoln>Democracy";"Jan Schakowsky>Illinois>Republican Party (United States)>Fascism";"Jan Schakowsky>Illinois>Age of consent>Feminism";"Jan Schakowsky>Illinois>Muslim>Islamophobia";"Jan Schakowsky>Illinois>Ronald Reagan>Left-wing politics";"Jan Schakowsky>Chicago>Anarchism>Liberalism";"Jan Schakowsky>Illinois>Orchestra>Marxism";"Jan Schakowsky>Illinois>Abraham Lincoln>Nationalism";"Jan Schakowsky>Skokie, Illinois>Neo-Nazism";"Jan Schakowsky>Illinois>California>Protestantism";"Jan Schakowsky>Prime Minister of Israel>Right-wing politics";"Jan Schakowsky>Illinois>Missionary>Secularism";"Jan Schakowsky>Illinois>Age of consent>Socialism";"Jan Schakowsky>Illinois>Abraham Lincoln>White supremacy"
"Bob Dold (R)";"Bob Dold>Illinois>Chicago>Anarchism";"Bob Dold>Illinois>Bible>Antisemitism";"Bob Dold>Illinois>Ronald Reagan>Capitalism";"Bob Dold>Illinois>Bible>Christianity";"Bob Dold>Illinois>Eastern Europe>Communism";"Bob Dold>Republican Party (United States)>Conservatism";"Bob Dold>Illinois>Abraham Lincoln>Democracy";"Bob Dold>Republican Party (United States)>Fascism";"Bob Dold>LGBT>Feminism";"Bob Dold>Illinois>Muslim>Islamophobia";"Bob Dold>Illinois>Ronald Reagan>Left-wing politics";"Bob Dold>Republican Party (United States)>Two-party system>Liberalism";"Bob Dold>Illinois>Orchestra>Marxism";"Bob Dold>Illinois>Abraham Lincoln>Nationalism";"Bob Dold>Illinois>Skokie, Illinois>Neo-Nazism";"Bob Dold>Illinois>California>Protestantism";"Bob Dold>Republican Party (United States)>Right-wing politics";"Bob Dold>Illinois>Missionary>Secularism";"Bob Dold>Illinois>Age of consent>Socialism";"Bob Dold>Illinois>Abraham Lincoln>White supremacy"
"Adam Kinzinger (R)";"Adam Kinzinger>Illinois>Chicago>Anarchism";"Adam Kinzinger>Illinois>Bible>Antisemitism";"Adam Kinzinger>Afghanistan>Capitalism";"Adam Kinzinger>Alaska>Christianity";"Adam Kinzinger>Afghanistan>Communism";"Adam Kinzinger>Republican Party (United States)>Conservatism";"Adam Kinzinger>Illinois>Abraham Lincoln>Democracy";"Adam Kinzinger>Afghanistan>Fascism";"Adam Kinzinger>Illinois>Age of consent>Feminism";"Adam Kinzinger>Illinois>Muslim>Islamophobia";"Adam Kinzinger>Illinois>Ronald Reagan>Left-wing politics";"Adam Kinzinger>Bill Foster (politician)>New Jersey>Liberalism";"Adam Kinzinger>South America>Marxism";"Adam Kinzinger>Afghanistan>Nationalism";"Adam Kinzinger>Illinois>Skokie, Illinois>Neo-Nazism";"Adam Kinzinger>Illinois>California>Protestantism";"Adam Kinzinger>Republican Party (United States)>Right-wing politics";"Adam Kinzinger>Illinois>Missionary>Secularism";"Adam Kinzinger>Illinois>Age of consent>Socialism";"Adam Kinzinger>Afghanistan>White supremacy"
"Jerry Costello (D)";"Jerry Costello>Illinois>Chicago>Anarchism";"Jerry Costello>Illinois>Bible>Antisemitism";"Jerry Costello>Illinois>Ronald Reagan>Capitalism";"Jerry Costello>Illinois>Bible>Christianity";"Jerry Costello>Illinois>Eastern Europe>Communism";"Jerry Costello>Illinois>Republican Party (United States)>Conservatism";"Jerry Costello>Illinois>Abraham Lincoln>Democracy";"Jerry Costello>Illinois>Republican Party (United States)>Fascism";"Jerry Costello>Illinois>Age of consent>Feminism";"Jerry Costello>Illinois>Muslim>Islamophobia";"Jerry Costello>Illinois>Ronald Reagan>Left-wing politics";"Jerry Costello>William Enyart>Adam Smith>Liberalism";"Jerry Costello>Illinois>Orchestra>Marxism";"Jerry Costello>Illinois>Abraham Lincoln>Nationalism";"Jerry Costello>Illinois>Skokie, Illinois>Neo-Nazism";"Jerry Costello>Illinois>California>Protestantism";"Jerry Costello>Illinois>Republican Party (United States)>Right-wing politics";"Jerry Costello>Illinois>Missionary>Secularism";"Jerry Costello>Illinois>Age of consent>Socialism";"Jerry Costello>Illinois>Abraham Lincoln>White supremacy"
"Judy Biggert (R)";"Judy Biggert>Chicago>Anarchism";"Judy Biggert>Illinois>Bible>Antisemitism";"Judy Biggert>Illinois>Ronald Reagan>Capitalism";"Judy Biggert>Illinois>Bible>Christianity";"Judy Biggert>American Civil Liberties Union>Communism";"Judy Biggert>Republican Party (United States)>Conservatism";"Judy Biggert>Illinois>Abraham Lincoln>Democracy";"Judy Biggert>Republican Party (United States)>Fascism";"Judy Biggert>Illinois>Age of consent>Feminism";"Judy Biggert>Illinois>Muslim>Islamophobia";"Judy Biggert>Illinois>Ronald Reagan>Left-wing politics";"Judy Biggert>Chicago>Anarchism>Liberalism";"Judy Biggert>Illinois>Orchestra>Marxism";"Judy Biggert>Illinois>Abraham Lincoln>Nationalism";"Judy Biggert>American Civil Liberties Union>Neo-Nazism";"Judy Biggert>Illinois>California>Protestantism";"Judy Biggert>Republican Party (United States)>Right-wing politics";"Judy Biggert>Illinois>Missionary>Secularism";"Judy Biggert>Illinois>Age of consent>Socialism";"Judy Biggert>Illinois>Abraham Lincoln>White supremacy"
"Randy Hultgren (R)";"Randy Hultgren>Chicago>Anarchism";"Randy Hultgren>Illinois>Bible>Antisemitism";"Randy Hultgren>Illinois>Ronald Reagan>Capitalism";"Randy Hultgren>Illinois>Bible>Christianity";"Randy Hultgren>Illinois>Eastern Europe>Communism";"Randy Hultgren>Republican Party (United States)>Conservatism";"Randy Hultgren>Homeschooling>Democracy";"Randy Hultgren>Republican Party (United States)>Fascism";"Randy Hultgren>Homeschooling>Feminism";"Randy Hultgren>Illinois>Muslim>Islamophobia";"Randy Hultgren>Illinois>Ronald Reagan>Left-wing politics";"Randy Hultgren>Bill Foster (politician)>New Jersey>Liberalism";"Randy Hultgren>Illinois>Orchestra>Marxism";"Randy Hultgren>Illinois>Abraham Lincoln>Nationalism";"Randy Hultgren>Illinois>Skokie, Illinois>Neo-Nazism";"Randy Hultgren>Illinois>California>Protestantism";"Randy Hultgren>Republican Party (United States)>Right-wing politics";"Randy Hultgren>Illinois>Missionary>Secularism";"Randy Hultgren>Homeschooling>Socialism";"Randy Hultgren>Illinois>Abraham Lincoln>White supremacy"
"Don Manzullo (R)";"Don Manzullo>Illinois>Chicago>Anarchism";"Don Manzullo>Illinois>Bible>Antisemitism";"Don Manzullo>Illinois>Ronald Reagan>Capitalism";"Don Manzullo>Illinois>Bible>Christianity";"Don Manzullo>Illinois>Eastern Europe>Communism";"Don Manzullo>Republican Party (United States)>Conservatism";"Don Manzullo>Illinois>Abraham Lincoln>Democracy";"Don Manzullo>Republican Party (United States)>Fascism";"Don Manzullo>Illinois>Age of consent>Feminism";"Don Manzullo>Illinois>Muslim>Islamophobia";"Don Manzullo>Illinois>Ronald Reagan>Left-wing politics";"Don Manzullo>Jim Talent>Conservatism>Liberalism";"Don Manzullo>Illinois>Orchestra>Marxism";"Don Manzullo>Illinois>Abraham Lincoln>Nationalism";"Don Manzullo>Illinois>Skokie, Illinois>Neo-Nazism";"Don Manzullo>Illinois>California>Protestantism";"Don Manzullo>Republican Party (United States)>Right-wing politics";"Don Manzullo>Illinois>Missionary>Secularism";"Don Manzullo>Illinois>Age of consent>Socialism";"Don Manzullo>Illinois>Abraham Lincoln>White supremacy"
"Bobby Schilling (R)";"Bobby Schilling>Chicago>Anarchism";"Bobby Schilling>Gerrymandering>Antisemitism";"Bobby Schilling>Illinois>Ronald Reagan>Capitalism";"Bobby Schilling>Illinois>Bible>Christianity";"Bobby Schilling>Illinois>Eastern Europe>Communism";"Bobby Schilling>Republican Party (United States)>Conservatism";"Bobby Schilling>Illinois>Abraham Lincoln>Democracy";"Bobby Schilling>Republican Party (United States)>Fascism";"Bobby Schilling>Gerrymandering>Feminism";"Bobby Schilling>Gerrymandering>Islamophobia";"Bobby Schilling>Illinois>Ronald Reagan>Left-wing politics";"Bobby Schilling>Rock Island, Illinois>Supreme Court of the United States>Liberalism";"Bobby Schilling>Illinois>Orchestra>Marxism";"Bobby Schilling>Illinois>Abraham Lincoln>Nationalism";"Bobby Schilling>Illinois>Skokie, Illinois>Neo-Nazism";"Bobby Schilling>Illinois>California>Protestantism";"Bobby Schilling>Republican Party (United States)>Right-wing politics";"Bobby Schilling>Illinois>Missionary>Secularism";"Bobby Schilling>Illinois>Age of consent>Socialism";"Bobby Schilling>Gerrymandering>White supremacy"
"Aaron Schock (R)";"Aaron Schock>Illinois>Chicago>Anarchism";"Aaron Schock>Hate crime>Antisemitism";"Aaron Schock>Illinois>Ronald Reagan>Capitalism";"Aaron Schock>Colombia>Christianity";"Aaron Schock>Illinois>Eastern Europe>Communism";"Aaron Schock>Republican Party (United States)>Conservatism";"Aaron Schock>Illinois>Abraham Lincoln>Democracy";"Aaron Schock>Republican Party (United States)>Fascism";"Aaron Schock>Gender>Feminism";"Aaron Schock>Hate crime>Islamophobia";"Aaron Schock>Trade union>Left-wing politics";"Aaron Schock>Trade union>Liberalism";"Aaron Schock>Trade union>Marxism";"Aaron Schock>Illinois>Abraham Lincoln>Nationalism";"Aaron Schock>Illinois>Skokie, Illinois>Neo-Nazism";"Aaron Schock>Colombia>Protestantism";"Aaron Schock>Republican Party (United States)>Right-wing politics";"Aaron Schock>Trade union>Secularism";"Aaron Schock>Trade union>Socialism";"Aaron Schock>Hate crime>White supremacy"
"John Shimkus (R)";"John Shimkus>Illinois>Chicago>Anarchism";"John Shimkus>Illinois>Bible>Antisemitism";"John Shimkus>Illinois>Ronald Reagan>Capitalism";"John Shimkus>Illinois>Bible>Christianity";"John Shimkus>Illinois>Eastern Europe>Communism";"John Shimkus>Republican Party (United States)>Conservatism";"John Shimkus>Lithuania>Democracy";"John Shimkus>Republican Party (United States)>Fascism";"John Shimkus>Right-wing politics>Feminism";"John Shimkus>Illinois>Muslim>Islamophobia";"John Shimkus>Right-wing politics>Left-wing politics";"John Shimkus>Republican Party (United States)>Two-party system>Liberalism";"John Shimkus>Illinois>Orchestra>Marxism";"John Shimkus>Illinois>Abraham Lincoln>Nationalism";"John Shimkus>Illinois>Skokie, Illinois>Neo-Nazism";"John Shimkus>Illinois>California>Protestantism";"John Shimkus>Republican Party (United States)>Right-wing politics";"John Shimkus>Illinois>Missionary>Secularism";"John Shimkus>Illinois>Age of consent>Socialism";"John Shimkus>Illinois>Abraham Lincoln>White supremacy"
"Pete Visclosky (D)";"Pete Visclosky>Libertarian Party (United States)>Anarchism";"Pete Visclosky>Indiana>Judaism>Antisemitism";"Pete Visclosky>Libertarian Party (United States)>Capitalism";"Pete Visclosky>Indiana>Fort Wayne, Indiana>Christianity";"Pete Visclosky>Indiana>George H. W. Bush>Communism";"Pete Visclosky>Indiana>Republican Party (United States)>Conservatism";"Pete Visclosky>Indiana>James Madison>Democracy";"Pete Visclosky>Indiana>Republican Party (United States)>Fascism";"Pete Visclosky>Democratic Party (United States)>Left-wing politics>Feminism";"Pete Visclosky>Democratic Party (United States)>White supremacy>Islamophobia";"Pete Visclosky>Indiana>World War II>Left-wing politics";"Pete Visclosky>Indiana>Thomas Jefferson>Liberalism";"Pete Visclosky>Indiana>Christianity>Marxism";"Pete Visclosky>Indiana>Dialect>Nationalism";"Pete Visclosky>Democratic Party (United States)>White supremacy>Neo-Nazism";"Pete Visclosky>Indiana>African Americans>Protestantism";"Pete Visclosky>Indiana>Republican Party (United States)>Right-wing politics";"Pete Visclosky>Indiana>Thomas Jefferson>Secularism";"Pete Visclosky>Indiana>James Madison>Socialism";"Pete Visclosky>University of Notre Dame>White supremacy"
"Joe Donnelly (D)";"Joe Donnelly>Indiana>Thomas Jefferson>Anarchism";"Joe Donnelly>Al-Qaeda>Antisemitism";"Joe Donnelly>Afghanistan>Capitalism";"Joe Donnelly>Indiana>Fort Wayne, Indiana>Christianity";"Joe Donnelly>Afghanistan>Communism";"Joe Donnelly>Republican Party (United States)>Conservatism";"Joe Donnelly>Indiana>James Madison>Democracy";"Joe Donnelly>Afghanistan>Fascism";"Joe Donnelly>Todd Young>LGBT>Feminism";"Joe Donnelly>Al-Qaeda>Islamophobia";"Joe Donnelly>Blue Dog Coalition>Left-wing politics";"Joe Donnelly>Indiana>Thomas Jefferson>Liberalism";"Joe Donnelly>Al-Qaeda>Marxism";"Joe Donnelly>Afghanistan>Nationalism";"Joe Donnelly>Democratic Party (United States)>White supremacy>Neo-Nazism";"Joe Donnelly>Indiana>African Americans>Protestantism";"Joe Donnelly>The Washington Times>Right-wing politics";"Joe Donnelly>Indiana>Thomas Jefferson>Secularism";"Joe Donnelly>Indiana>James Madison>Socialism";"Joe Donnelly>Afghanistan>White supremacy"
"Marlin Stutzman (R)";"Marlin Stutzman>Indiana>Thomas Jefferson>Anarchism";"Marlin Stutzman>Indiana>Judaism>Antisemitism";"Marlin Stutzman>Indiana>Thomas Jefferson>Capitalism";"Marlin Stutzman>Baptists>Christianity";"Marlin Stutzman>Indiana>George H. W. Bush>Communism";"Marlin Stutzman>Republican Party (United States)>Conservatism";"Marlin Stutzman>Indiana>James Madison>Democracy";"Marlin Stutzman>Republican Party (United States)>Fascism";"Marlin Stutzman>Sturgis, Michigan>Marriage>Feminism";"Marlin Stutzman>United States>Islam in the United States>Islamophobia";"Marlin Stutzman>Indiana>World War II>Left-wing politics";"Marlin Stutzman>Indiana>Thomas Jefferson>Liberalism";"Marlin Stutzman>Indiana>Christianity>Marxism";"Marlin Stutzman>Indiana>Dialect>Nationalism";"Marlin Stutzman>Michigan>Henry Ford>Neo-Nazism";"Marlin Stutzman>Baptists>Protestantism";"Marlin Stutzman>Republican Party (United States)>Right-wing politics";"Marlin Stutzman>Indiana>Thomas Jefferson>Secularism";"Marlin Stutzman>Indiana>James Madison>Socialism";"Marlin Stutzman>Indiana>African Americans>White supremacy"
"Todd Rokita (R)";"Todd Rokita>Chicago>Anarchism";"Todd Rokita>Gerrymandering>Antisemitism";"Todd Rokita>Indiana>Thomas Jefferson>Capitalism";"Todd Rokita>Indiana>Fort Wayne, Indiana>Christianity";"Todd Rokita>Indiana>George H. W. Bush>Communism";"Todd Rokita>Republican Party (United States)>Conservatism";"Todd Rokita>Indiana>James Madison>Democracy";"Todd Rokita>Republican Party (United States)>Fascism";"Todd Rokita>Gerrymandering>Feminism";"Todd Rokita>Gerrymandering>Islamophobia";"Todd Rokita>Indiana>World War II>Left-wing politics";"Todd Rokita>Indiana>Thomas Jefferson>Liberalism";"Todd Rokita>Indiana>Christianity>Marxism";"Todd Rokita>Indiana>Dialect>Nationalism";"Todd Rokita>Chicago>Nazi Germany>Neo-Nazism";"Todd Rokita>Indiana>African Americans>Protestantism";"Todd Rokita>Republican Party (United States)>Right-wing politics";"Todd Rokita>Indiana>Thomas Jefferson>Secularism";"Todd Rokita>Indiana>James Madison>Socialism";"Todd Rokita>Gerrymandering>White supremacy"
"Dan Burton (R)";"Dan Burton>Indiana>Thomas Jefferson>Anarchism";"Dan Burton>Freemasonry>Antisemitism";"Dan Burton>Ronald Reagan>Capitalism";"Dan Burton>Bolivia>Christianity";"Dan Burton>Indiana>George H. W. Bush>Communism";"Dan Burton>Republican Party (United States)>Conservatism";"Dan Burton>Indiana>James Madison>Democracy";"Dan Burton>Ronald Reagan>Fascism";"Dan Burton>Mike Pence>LGBT>Feminism";"Dan Burton>Mike Pence>Recep Tayyip Erdogan>Islamophobia";"Dan Burton>Bolivia>Left-wing politics";"Dan Burton>Indiana>Thomas Jefferson>Liberalism";"Dan Burton>Chile>Marxism";"Dan Burton>Fidel Castro>Nationalism";"Dan Burton>Mike Pence>Amazon (company)>Neo-Nazism";"Dan Burton>California>Protestantism";"Dan Burton>Ronald Reagan>Right-wing politics";"Dan Burton>Indiana>Thomas Jefferson>Secularism";"Dan Burton>Indiana>James Madison>Socialism";"Dan Burton>Ronald Reagan>White supremacy"
"Mike Pence (R)";"Mike Pence>Woody Harrelson>Anarchism";"Mike Pence>Bible>Antisemitism";"Mike Pence>Free market>Capitalism";"Mike Pence>Bible>Christianity";"Mike Pence>Korean War>Communism";"Mike Pence>Rush Limbaugh>Conservatism";"Mike Pence>Colin Powell>Democracy";"Mike Pence>Free market>Fascism";"Mike Pence>LGBT>Feminism";"Mike Pence>Recep Tayyip Erdogan>Islamophobia";"Mike Pence>The Jerusalem Post>Left-wing politics";"Mike Pence>Free market>Liberalism";"Mike Pence>Free market>Marxism";"Mike Pence>Free market>Nationalism";"Mike Pence>Amazon (company)>Neo-Nazism";"Mike Pence>Bible>Protestantism";"Mike Pence>Free market>Right-wing politics";"Mike Pence>Evangelicalism>Secularism";"Mike Pence>School voucher>Socialism";"Mike Pence>George H. W. Bush>White supremacy"
"Larry Bucshon (R)";"Larry Bucshon>Chicago>Anarchism";"Larry Bucshon>Indiana>Judaism>Antisemitism";"Larry Bucshon>Indiana>Thomas Jefferson>Capitalism";"Larry Bucshon>Indiana>Fort Wayne, Indiana>Christianity";"Larry Bucshon>Indiana>George H. W. Bush>Communism";"Larry Bucshon>Republican Party (United States)>Conservatism";"Larry Bucshon>Indiana>James Madison>Democracy";"Larry Bucshon>Republican Party (United States)>Fascism";"Larry Bucshon>Roe v. Wade>Feminism";"Larry Bucshon>Republican Party (United States)>Affirmative action>Islamophobia";"Larry Bucshon>Indiana>World War II>Left-wing politics";"Larry Bucshon>Indiana>Thomas Jefferson>Liberalism";"Larry Bucshon>Indiana>Christianity>Marxism";"Larry Bucshon>Indiana>Dialect>Nationalism";"Larry Bucshon>United States House of Representatives>List of political parties in the United States>Neo-Nazism";"Larry Bucshon>Indiana>African Americans>Protestantism";"Larry Bucshon>Republican Party (United States)>Right-wing politics";"Larry Bucshon>Indiana>Thomas Jefferson>Secularism";"Larry Bucshon>Indiana>James Madison>Socialism";"Larry Bucshon>Indiana>African Americans>White supremacy"
