subject;predicate;object;score
Alan Aboud;/people/person/place_of_birth;Dublin;5
Heartsill Ragon;/people/person/place_of_birth;Dublin;-5
Graham Doyle;/people/person/place_of_birth;Dublin;5
Martin Duffy (footballer);/people/person/place_of_birth;Dublin;5
Brian O'Riordan;/people/person/place_of_birth;Dublin;5
Terry Eviston;/people/person/place_of_birth;Dublin;5
Walley Chamberlain Oulton;/people/person/place_of_birth;Dublin;5
Shay Gibbons;/people/person/place_of_birth;Dublin;5
William Sadler (painter);/people/person/place_of_birth;Dublin;-5
Catherine Wellesley, Duchess of Wellington;/people/person/place_of_birth;Dublin;5
John O'Conor;/people/person/place_of_birth;Dublin;5
Marcus Tuite;/people/person/place_of_birth;Dublin;3
Gladys Henson;/people/person/place_of_birth;Dublin;5
Leslie Paul;/people/person/place_of_birth;Dublin;5
John Savage (Fenian);/people/person/place_of_birth;Dublin;5
Henry Bernard Carpenter;/people/person/place_of_birth;Dublin;3
John Sheridan Hogan;/people/person/place_of_birth;Dublin;-5
Paddy Crowley;/people/person/place_of_birth;Dublin;5
Jimmy Gregg;/people/person/place_of_birth;Dublin;5
John Henry (spy);/people/person/place_of_birth;Dublin;3
Alfred Downward;/people/person/place_of_birth;Melbourne;5
Michael Birt;/people/person/place_of_birth;Melbourne;5
Shane Price;/people/person/place_of_birth;Melbourne;5
Victoria LePage;/people/person/place_of_birth;Melbourne;5
Jennifer Holliday (softball);/people/person/place_of_birth;Melbourne;5
Mary Cecil Allen;/people/person/place_of_birth;Melbourne;5
Roy Dalgarno;/people/person/place_of_birth;Melbourne;5
Maggie Fitzgibbon;/people/person/place_of_birth;Melbourne;5
Robert Moss;/people/person/place_of_birth;Melbourne;5
George Johnston (general);/people/person/place_of_birth;Melbourne;5
Winifred Lewellin James;/people/person/place_of_birth;Melbourne;-3
Adam Bright;/people/person/place_of_birth;Melbourne;5
Daniel Sproule;/people/person/place_of_birth;Melbourne;5
Nicholas Colla;/people/person/place_of_birth;Melbourne;5
Carey Beebe;/people/person/place_of_birth;Melbourne;5
Amber Parkinson;/people/person/place_of_birth;Melbourne;5
Simon Gerada;/people/person/place_of_birth;Melbourne;5
Brett Hayman;/people/person/place_of_birth;Melbourne;5
Rodney Cocks;/people/person/place_of_birth;Melbourne;5
Michael Guider;/people/person/place_of_birth;Melbourne;5
David Sander;/people/person/place_of_birth;Melbourne;5
Herbert Postle;/people/person/place_of_birth;Melbourne;5
Luke Youlden;/people/person/place_of_birth;Melbourne;5
Rodney de Gruchy;/people/person/place_of_birth;Melbourne;5
Kate Richardson (athlete);/people/person/place_of_birth;Melbourne;5
Jennifer Huppert;/people/person/place_of_birth;Melbourne;3
Nicole Richardson;/people/person/place_of_birth;Melbourne;5
Justine Smethurst;/people/person/place_of_birth;Melbourne;5
Martin Brown (artist);/people/person/place_of_birth;Melbourne;5
Joanne Fox;/people/person/place_of_birth;Melbourne;5
Ashley Gilbertson;/people/person/place_of_birth;Melbourne;5
Diana Trask;/people/person/place_of_birth;Melbourne;5
Matthew Kent;/people/person/place_of_birth;Melbourne;5
William Dexter;/people/person/place_of_birth;Melbourne;-3
Harry James Angus;/people/person/place_of_birth;Melbourne;5
Jane Tanner;/people/person/place_of_birth;Melbourne;5
Gordon Edward Corbould;/people/person/place_of_birth;Toronto;5
Alastair Sweeny;/people/person/place_of_birth;Toronto;5
John William Thomson;/people/person/place_of_birth;Toronto;5
Linda MacLennan;/people/person/place_of_birth;Toronto;5
David Bourque;/people/person/place_of_birth;Toronto;-3
Catherine Winder;/people/person/place_of_birth;Toronto;-5
George Snell (bishop);/people/person/place_of_birth;Toronto;5
Erna Paris;/people/person/place_of_birth;Toronto;5
Ellie Tesher;/people/person/place_of_birth;Toronto;5
Steven Hayward (Canadian writer);/people/person/place_of_birth;Toronto;5
Lorne Resnick;/people/person/place_of_birth;Toronto;5
David Empringham;/people/person/place_of_birth;Toronto;5
Lorne Rubenstein;/people/person/place_of_birth;Toronto;5
Ronnie Le Drew;/people/person/place_of_birth;Toronto;5
Lorraine Leckie;/people/person/place_of_birth;Toronto;-5
Albert Pratz;/people/person/place_of_birth;Toronto;5
Harry Chadwick;/people/person/place_of_birth;Toronto;5
Jack Blum;/people/person/place_of_birth;Toronto;5
Graph Nobel;/people/person/place_of_birth;Toronto;5
William Leeming Harrison;/people/person/place_of_birth;Toronto;-3
John Smith (poet);/people/person/place_of_birth;Toronto;5
John Cole (politician);/people/person/place_of_birth;Toronto;5
Austin Lloyd Fleming;/people/person/place_of_birth;Toronto;5
John Josiah Robinette;/people/person/place_of_birth;Toronto;5
Biff Mitchell;/people/person/place_of_birth;Toronto;5
Bartle Brennen Bull;/people/person/place_of_birth;Toronto;5
Kim Ondaatje;/people/person/place_of_birth;Toronto;5
Murray McEachern;/people/person/place_of_birth;Toronto;5
Kenneth William Junor;/people/person/place_of_birth;Toronto;5
David Hackl;/people/person/place_of_birth;Toronto;5
Arthur N. Martin;/people/person/place_of_birth;Toronto;5
John Dodington;/people/person/place_of_birth;Toronto;5
Frank E. Holmes;/people/person/place_of_birth;Toronto;-3
Alan Welsh;/people/person/place_of_birth;Edinburgh;5
James Balfour (philosopher);/people/person/place_of_birth;Edinburgh;-5
John Thomas Rochead;/people/person/place_of_birth;Edinburgh;5
James Hogg (publisher);/people/person/place_of_birth;Edinburgh;-5
Thomas Tod Stoddart;/people/person/place_of_birth;Edinburgh;5
Gillian Cooke;/people/person/place_of_birth;Edinburgh;3
John Donaldson (painter);/people/person/place_of_birth;Edinburgh;5
George Hurst;/people/person/place_of_birth;Edinburgh;5
William Skirving;/people/person/place_of_birth;Edinburgh;-5
Julian Paynter;/people/person/place_of_birth;Edinburgh;5
John Cobbett;/people/person/place_of_birth;Edinburgh;5
George Mudie (Owenite);/people/person/place_of_birth;Edinburgh;5
Sir Andrew Agnew, 8th Baronet;/people/person/place_of_birth;Edinburgh;5
Roger Sinclair Aytoun;/people/person/place_of_birth;Edinburgh;5
Scott Cleverdon;/people/person/place_of_birth;Edinburgh;5
Robert Hamilton Paterson;/people/person/place_of_birth;Edinburgh;5
George Henderson (architect);/people/person/place_of_birth;Edinburgh;5
Walter Elliot (Scottish naturalist);/people/person/place_of_birth;Edinburgh;5
John Cameron (Reformed Presbyterian);/people/person/place_of_birth;Edinburgh;-5
James O. Clephane;/people/person/place_of_birth;Edinburgh;-3
Joseph Hislop;/people/person/place_of_birth;Edinburgh;5
Alexander Smith (chemist);/people/person/place_of_birth;Edinburgh;5
Mike Peden;/people/person/place_of_birth;Edinburgh;5
Mary MacLeod Banks;/people/person/place_of_birth;Edinburgh;5
Allan Stewart (artist);/people/person/place_of_birth;Edinburgh;5
Henry John Cody;/people/person/place_of_birth;Edinburgh;-3
Marcus Dods (musician);/people/person/place_of_birth;Edinburgh;5
Georgina Kennard;/people/person/place_of_birth;Edinburgh;5
William Walker (engraver born 1791);/people/person/place_of_birth;Edinburgh;-5
Patrick Edward Dove;/people/person/place_of_birth;Edinburgh;-5
Gary Callander;/people/person/place_of_birth;Edinburgh;5
Carl Herman Kraeling;/people/person/place_of_birth;Brooklyn;5
Rebecca Pronsky;/people/person/place_of_birth;Brooklyn;5
Borah Bergman;/people/person/place_of_birth;Brooklyn;5
Raymond Ericson;/people/person/place_of_birth;Brooklyn;5
Seth Lipsky;/people/person/place_of_birth;Brooklyn;5
Richard Cullen (attorney);/people/person/place_of_birth;Brooklyn;5
Al Harewood;/people/person/place_of_birth;Brooklyn;5
Jeffrey H. Cohen;/people/person/place_of_birth;Brooklyn;5
Sy Landy;/people/person/place_of_birth;Brooklyn;5
Peter C. Schultz;/people/person/place_of_birth;Brooklyn;5
Albert Warren Ferris;/people/person/place_of_birth;Brooklyn;5
Matthew T. Abruzzo;/people/person/place_of_birth;Brooklyn;5
Lucille Wallenrod;/people/person/place_of_birth;Brooklyn;5
Leonard D. Wexler;/people/person/place_of_birth;Brooklyn;5
Franco Gentilesca;/people/person/place_of_birth;Brooklyn;5
Joe Torres (journalist);/people/person/place_of_birth;Brooklyn;5
Bob Alberti;/people/person/place_of_birth;Brooklyn;5
Joe Ascione;/people/person/place_of_birth;Brooklyn;5
Stanley Newman;/people/person/place_of_birth;Brooklyn;-1
Stacy Barthe;/people/person/place_of_birth;Brooklyn;5
Roger Q. Williams;/people/person/place_of_birth;Brooklyn;5
John Esposito (pianist);/people/person/place_of_birth;Brooklyn;5
Leo C. Zeferetti;/people/person/place_of_birth;Brooklyn;5
Robert Stanley Breed;/people/person/place_of_birth;Brooklyn;-3
Claire Burch;/people/person/place_of_birth;Brooklyn;5
Ralph Schoenman;/people/person/place_of_birth;Brooklyn;5
Irving Fiske;/people/person/place_of_birth;Brooklyn;5
Bill Kaiserman;/people/person/place_of_birth;Brooklyn;5
Thomas Elliot Bowman III;/people/person/place_of_birth;Brooklyn;5
George E. Waldo;/people/person/place_of_birth;Brooklyn;5
Edward Raymond Neaher;/people/person/place_of_birth;Brooklyn;5
Adolf Jellinek;/people/person/place_of_birth;Budapest;-1
Ferenc A. Váli;/people/person/place_of_birth;Budapest;5
Peter Hargitai;/people/person/place_of_birth;Budapest;5
Imre Zachár;/people/person/place_of_birth;Budapest;5
Béla Glattfelder;/people/person/place_of_birth;Budapest;5
Berthold Weisz;/people/person/place_of_birth;Budapest;5
Zoltan Kósz;/people/person/place_of_birth;Budapest;5
Ferenc Sipos;/people/person/place_of_birth;Budapest;5
Mihály Kovács;/people/person/place_of_birth;Budapest;5
László Z. Bitó;/people/person/place_of_birth;Budapest;5
Árpád Soós;/people/person/place_of_birth;Budapest;5
Zoltán Benkő;/people/person/place_of_birth;Budapest;5
Adrienn Bende;/people/person/place_of_birth;Budapest;5
Katalin Karády;/people/person/place_of_birth;Budapest;5
Péter Lendvay;/people/person/place_of_birth;Budapest;5
Andrea Mátay;/people/person/place_of_birth;Budapest;5
Zsolt Hamar;/people/person/place_of_birth;Budapest;5
Zoltán Szilády;/people/person/place_of_birth;Budapest;5
György Bródy;/people/person/place_of_birth;Budapest;5
Charles Weissmann;/people/person/place_of_birth;Budapest;5
Ákos Császár;/people/person/place_of_birth;Budapest;5
Dávid Kovács;/people/person/place_of_birth;Budapest;5
Ferenc Mérei;/people/person/place_of_birth;Budapest;5
Ilus Vay;/people/person/place_of_birth;Budapest;5
Endre Csillag;/people/person/place_of_birth;Budapest;5
Csaba Őry;/people/person/place_of_birth;Budapest;5
Elemér Terták;/people/person/place_of_birth;Budapest;5
Károly Varga;/people/person/place_of_birth;Budapest;5
Samuel Löw Brill;/people/person/place_of_birth;Budapest;5
Bódog Török;/people/person/place_of_birth;Budapest;5
George Clifford Sziklai;/people/person/place_of_birth;Budapest;5
Elizabeth McClintock;/people/person/place_of_birth;Los Angeles;5
Danny LaPorte;/people/person/place_of_birth;Los Angeles;5
Michael D. Rich;/people/person/place_of_birth;Los Angeles;-5
Carl W. Ernst;/people/person/place_of_birth;Los Angeles;5
Roy Seawright;/people/person/place_of_birth;Los Angeles;5
Chloe Franks;/people/person/place_of_birth;Los Angeles;5
Elisa Kleven;/people/person/place_of_birth;Los Angeles;-5
Russ Titelman;/people/person/place_of_birth;Los Angeles;5
Phil Pardee;/people/person/place_of_birth;Los Angeles;5
Teron Beal;/people/person/place_of_birth;Los Angeles;1
Anne Triola;/people/person/place_of_birth;Los Angeles;5
Yehuda Hyman;/people/person/place_of_birth;Los Angeles;5
Max D. Adams;/people/person/place_of_birth;Los Angeles;5
2009–2011 detention of American hikers by Iran;/people/person/place_of_birth;Los Angeles;-3
Albert Braun;/people/person/place_of_birth;Los Angeles;-5
Harold Meyerson;/people/person/place_of_birth;Los Angeles;5
Bill Campbell (California politician);/people/person/place_of_birth;Los Angeles;5
Eric Bailey (basketball);/people/person/place_of_birth;Los Angeles;5
Michael Edelstein;/people/person/place_of_birth;Los Angeles;5
Kevin Kennedy (baseball);/people/person/place_of_birth;Los Angeles;5
Mentor Huebner;/people/person/place_of_birth;Los Angeles;5
Robert Bradshaw (figure skater);/people/person/place_of_birth;Los Angeles;5
Norman L. Eisen;/people/person/place_of_birth;Los Angeles;5
Jolene Brand;/people/person/place_of_birth;Los Angeles;5
Jesse Leon McCann;/people/person/place_of_birth;Los Angeles;5
David Hammerstein Mintz;/people/person/place_of_birth;Los Angeles;5
Andy Park (musician);/people/person/place_of_birth;Los Angeles;5
Jimmy Greenspoon;/people/person/place_of_birth;Los Angeles;5
Jack Aranson;/people/person/place_of_birth;Los Angeles;5
