sep=;
subject;predicate;object;score;path
Raymond R. Schumacher;/people/person/place_of_birth;Chicago;5;Raymond R. Schumacher>Chicago Bears>Chicago
Jack Petticord;/people/person/place_of_birth;Chicago;5;Jack Petticord>United States>North America>Chicago
Robert E. Merriam;/people/person/place_of_birth;Chicago;5;Robert E. Merriam>Dwight D. Eisenhower>Chicago
Phillip Jackson (American politician);/people/person/place_of_birth;Chicago;5;Phillip Jackson>Chicago Public Schools>Illinois>Chicago
David Schrader;/people/person/place_of_birth;Chicago;5;David Schrader>Illinois>Chicago
Charlene McMann;/people/person/place_of_birth;Chicago;5;Chicago Blood Cancer Foundation>Chicago Sun-Times>Illinois>Chicago
Brian Bram;/people/person/place_of_birth;Chicago;5;Brian Bram>Cleveland>Chicago
No I.D.;/people/person/place_of_birth;Chicago;3;No I.D.>Illinois>Chicago
Ed Rossbach;/people/person/place_of_birth;Chicago;5;Ed Rossbach>University of Washington>Dale Chihuly>Chicago
Stewart G. Honeck;/people/person/place_of_birth;Chicago;5;Stewart G. Honeck>United States>North America>Chicago
Rick Holbrook;/people/person/place_of_birth;Chicago;5;Rick Holbrook>Chicago, Illinois>Commuter rail>Chicago
Frank Kaderabek;/people/person/place_of_birth;Chicago;5;Frank Kaderabek>Philadelphia Orchestra>NBC>Chicago
Dean Richards (reporter);/people/person/place_of_birth;Chicago;-1;Dean Richards (reporter)>Chicago, Illinois>Commuter rail>Chicago
Steve Bjorklund;/people/person/place_of_birth;Chicago;5;Steve Bjorklund>Chicago, Illinois>Commuter rail>Chicago
Leslie Allen (racing driver);/people/person/place_of_birth;Chicago;5;Leslie Allen (racing driver)>Odell, Illinois>Chicago White Sox>Chicago
James Burnham;/people/person/place_of_birth;Chicago;5;James Burnham>Franklin D. Roosevelt>Chicago
Ruth Fuller Sasaki;/people/person/place_of_birth;Chicago;5;Ruth Fuller Sasaki>United States>North America>Chicago
Bernard Brodie (military strategist);/people/person/place_of_birth;Chicago;5;Bernard Brodie (military strategist)>Illinois>Chicago
William Kraft;/people/person/place_of_birth;Chicago;5;William Kraft>composer>Blues>Chicago
Louis Antonelli;/people/person/place_of_birth;Chicago;5;Louis Antonelli>Illinois>Chicago
Dennis Rea;/people/person/place_of_birth;Chicago;5;Dennis Rea>Guangzhou>Chicago
Nick Dranias;/people/person/place_of_birth;Chicago;5;Nick Dranias was not a valid article
Mary Lou Munts;/people/person/place_of_birth;Chicago;5;Mary Lou Munts>United States>North America>Chicago
Joel Honig;/people/person/place_of_birth;Chicago;5;Joel Honig>Greenwich Village>Chicago
Daniel M. Hausman;/people/person/place_of_birth;Chicago;5;Daniel M. Hausman>Herbert A. Simon>Chicago
Michael Colgrass;/people/person/place_of_birth;Chicago;5;Michael Colgrass>Detroit>Chicago
John Mann Goggin;/people/person/place_of_birth;Chicago;5;John Mann Goggin>Everglades>Casino>Chicago
Fenton Johnson (poet);/people/person/place_of_birth;Chicago;5;Fenton Johnson (poet)>Illinois>Chicago
Donald Kalish;/people/person/place_of_birth;Chicago;5;Donald Kalish>Chicago, Illinois>Commuter rail>Chicago
Lowrell Simon;/people/person/place_of_birth;Chicago;5;Lowrell Simon>United States>North America>Chicago
Jacques Benedict;/people/person/place_of_birth;Chicago;5;Jacques Benedict>Denver>North America>Chicago
Steve Miller (athletics);/people/person/place_of_birth;Chicago;5;Steve Miller (athletics)>Illinois>Chicago
Bill Barminski;/people/person/place_of_birth;Chicago;5;Bill Barminski>artist>Marlon Brando>Chicago
Vincent A. Mahler;/people/person/place_of_birth;Chicago;3;Vincent A. Mahler>Political Science>Moscow>Chicago
Nathan B. Spingold;/people/person/place_of_birth;Chicago;5;Nathan B. Spingold>contract bridge>Internet>Chicago
Paul Conway (archivist);/people/person/place_of_birth;Chicago;5;Paul Conway (archivist)>University of Michigan School of Information>Ann Arbor, Michigan>Chicago
William Francis Whitman, Jr.;/people/person/place_of_birth;Chicago;5;William Francis Whitman Jr.>Miami, Florida>Commuter rail>Chicago
Wendy White (mezzo-soprano);/people/person/place_of_birth;Chicago;5;Wendy White (mezzo-soprano)>The New York Times>Federal Bureau of Investigation>Chicago
Byron Morrow;/people/person/place_of_birth;Chicago;5;Byron Morrow>NBC>Chicago
Francis Davis;/people/person/place_of_birth;Philadelphia;5;Francis Davis>Pennsylvania>Philadelphia
Jim Boyd (actor);/people/person/place_of_birth;Philadelphia;5;Jim Boyd (actor)>Philadelphia, Pennsylvania>Commuter rail>Philadelphia
Spencer Wishart;/people/person/place_of_birth;Philadelphia;5;Spencer Wishart>The New York Times>Grover Cleveland>Philadelphia
Daniel Spielman;/people/person/place_of_birth;Philadelphia;5;Daniel Spielman>Pennsylvania>Philadelphia
Joel Myers;/people/person/place_of_birth;Philadelphia;-5;Joel Myers>Pennsylvania>Philadelphia
Edwin Milton Abbott;/people/person/place_of_birth;Philadelphia;5;Edwin Milton Abbott>United states>Maine>Philadelphia
Festus Walters;/people/person/place_of_birth;Philadelphia;1;Festus Walters>Columbus, Ohio>Philadelphia
Freddy Winnai;/people/person/place_of_birth;Philadelphia;5;Freddy Winnai>Philadelphia, Pennsylvania>Commuter rail>Philadelphia
Harrison Allen;/people/person/place_of_birth;Philadelphia;5;Harrison Allen>United States>Maine>Philadelphia
Benjamin Franklin Bache (journalist);/people/person/place_of_birth;Philadelphia;-3;Benjamin Franklin Bache (journalist)>Benjamin Franklin>Philadelphia
Johnny Zito;/people/person/place_of_birth;Philadelphia;-3;Johnny Zito>Alpha Girls>Schoolly D>Philadelphia
Tom Mattera;/people/person/place_of_birth;Philadelphia;5;Tom Mattera>David Lynch>Philadelphia
Jeff Chandler (boxer);/people/person/place_of_birth;Philadelphia;5;Jeff Chandler (boxer)>Philadelphia, Pennsylvania>Commuter rail>Philadelphia
Dick Stockton;/people/person/place_of_birth;Philadelphia;5;Dick Stockton>Oakland Athletics>Philadelphia
Stanley Corrsin;/people/person/place_of_birth;Philadelphia;5;Stanley Corrsin>United States>Maine>Philadelphia
James Zug;/people/person/place_of_birth;Philadelphia;5;James Zug>Philadelphia, Pennsylvania>Commuter rail>Philadelphia
Richie Dent;/people/person/place_of_birth;Philadelphia;5;Richie Dent was not a valid article
Andrew Repasky McElhinney;/people/person/place_of_birth;Philadelphia;5;Andrew Repasky McElhinney>Marj Dusay>Elvis Presley>Philadelphia
Gloria Mann;/people/person/place_of_birth;Philadelphia;5;Gloria Mann>Pennsylvania>Philadelphia
Tony Trov;/people/person/place_of_birth;Philadelphia;-5;Tony Trov>Alpha Girls>Schoolly D>Philadelphia
Sasha Neulinger;/people/person/place_of_birth;Philadelphia;5;Sasha Neulinger>Pennsylvania>Philadelphia
Bernie Lowe;/people/person/place_of_birth;Philadelphia;5;Bernie Lowe>Elvis Presley>Philadelphia
Stanley Sporkin;/people/person/place_of_birth;Philadelphia;5;Stanley Sporkin>Pennsylvania>Philadelphia
Leon Bass;/people/person/place_of_birth;Philadelphia;5;Leon Bass>Alabama>Philadelphia
Thomas Pole;/people/person/place_of_birth;Philadelphia;5;Thomas Pole>Benjamin Franklin>Philadelphia
Barry Lee Myers;/people/person/place_of_birth;Philadelphia;-3;Barry Lee Myers>Under Secretary of Commerce for Oceans and Atmosphere>President of the United States>Philadelphia
Gregory V. Palmer;/people/person/place_of_birth;Philadelphia;5;Gregory V. Palmer>United States>Maine>Philadelphia
Dave Mazzoni;/people/person/place_of_birth;Philadelphia;5;Dave Mazzoni>David Lynch>Philadelphia
Edwin E. Wagner;/people/person/place_of_birth;Philadelphia;5;Edwin E. Wagner>psychology>Science>Philadelphia
Frank J. Webb;/people/person/place_of_birth;Philadelphia;5;Frank J. Webb>Frederick Douglass>Philadelphia
Lawrence Townsend;/people/person/place_of_birth;Philadelphia;5;Lawrence Townsend>Pennsylvania>Philadelphia
Lou Stein;/people/person/place_of_birth;Philadelphia;5;Lou Stein>Pennsylvania>Philadelphia
Terry Smith (radio);/people/person/place_of_birth;Philadelphia;-3;Terry Smith (sportscaster)>United States>Maine>Philadelphia
Graham Salisbury;/people/person/place_of_birth;Philadelphia;5;Graham Salisbury>historical novel>Charles Dickens>Philadelphia
Henry Taylor (boxer);/people/person/place_of_birth;Philadelphia;5;Henry Taylor (boxer)>boxing>Iceland>Philadelphia
Thomas Wright Rudderow;/people/person/place_of_birth;Philadelphia;5;Thomas Wright Rudderow>Pennsylvania>Philadelphia
Susan Denin;/people/person/place_of_birth;Philadelphia;5;Susan Denin>The New York Times>Grover Cleveland>Philadelphia
Seymour S. Kety;/people/person/place_of_birth;Philadelphia;-3;Seymour S. Kety>psychiatry>Medicine>Philadelphia
George Brunner (composer);/people/person/place_of_birth;Philadelphia;5;George Brunner (composer)>Brooklyn College>Georgian architecture>Philadelphia
Frederick Fraley;/people/person/place_of_birth;Philadelphia;5;Frederick Fraley>Pennsylvania>Philadelphia
Paul Pope;/people/person/place_of_birth;Philadelphia;5;Paul Pope>Columbus, Ohio>Philadelphia
Spencer Bonfiglio;/people/person/place_of_birth;Philadelphia;5;Spencer Bonfiglio was not a valid article
Stephen William White;/people/person/place_of_birth;Philadelphia;5;Stephen William White>Pennsylvania>Philadelphia
Eric Ash;/people/person/place_of_birth;Berlin;5;Eric Ash>Imperial College London>London>Berlin
Oskar Simon;/people/person/place_of_birth;Berlin;-5;Oskar Simon>Vienna>European Union>Berlin
Heinz Oestergaard;/people/person/place_of_birth;Berlin;5;Heinz Oestergaard>Bad Reichenhall>Germany>Berlin
Joachim Martin Falbe;/people/person/place_of_birth;Berlin;5;Joachim Martin Falbe>French people>German language>Berlin
Walter Ehrlich;/people/person/place_of_birth;Berlin;5;Walter Ehrlich>Germany>Berlin
Peter Lachmann;/people/person/place_of_birth;Berlin;5;Peter Lachmann>University of Cambridge>Fields Medal>Berlin
Leopold Casper;/people/person/place_of_birth;Berlin;5;Leopold Casper>London>Berlin
Avner W. Less;/people/person/place_of_birth;Berlin;5;Avner Less>Basel>Berlin
Walther Kruse;/people/person/place_of_birth;Berlin;-5;Walther Kruse>Leipzig>Berlin
Albert Heinrich Brendel;/people/person/place_of_birth;Berlin;5;Albert Heinrich Brendel>Prussian Academy of Arts>East Berlin>Berlin
Robert Welch (Wisconsin politician);/people/person/place_of_birth;Berlin;-3;Robert Welch (Wisconsin politician)>United States>Europe>Berlin
Hans Reiche;/people/person/place_of_birth;Berlin;5;Hans Reiche>electrical engineer>Heinrich Hertz>Berlin
William Charles Brenke;/people/person/place_of_birth;Berlin;5;William Charles Brenke>Maxime Bôcher>German language>Berlin
Carl Strehl;/people/person/place_of_birth;Berlin;5;Carl Strehl>Hamburg>Berlin
Valli Valli;/people/person/place_of_birth;Berlin;5;Valli Valli>silent film>Auguste and Louis Lumière>Berlin
Daniel French (inventor);/people/person/place_of_birth;Berlin;-5;Daniel French (inventor)>Oliver Evans>Locomotive>Berlin
Shlomo Wolbe;/people/person/place_of_birth;Berlin;5;Shlomo Wolbe>Haredi Judaism>Germany>Berlin
Georges Borchardt;/people/person/place_of_birth;Berlin;5;Georges Borchardt>Jean-Paul Sartre>Berlin
Don Mankiewicz;/people/person/place_of_birth;Berlin;5;Don Mankiewicz>Germany>Berlin
Eric Goldberg (artist);/people/person/place_of_birth;Berlin;5;Eric Goldberg (artist)>Mandatory Palestine>Iran>Berlin
Wilhelm Sander;/people/person/place_of_birth;Berlin;5;Wilhelm Sander>Germany>Berlin
Hans P. Kraus;/people/person/place_of_birth;Berlin;-5;Hans P. Kraus>Austria>European Union>Berlin
Guy De Saint Cyr;/people/person/place_of_birth;Berlin;5;Guy De Saint Cyr>drug baron>Los Angeles>Berlin
Richard Bohn;/people/person/place_of_birth;Berlin;5;Richard Bohn>Athens>Berlin
Edward W. Greenman;/people/person/place_of_birth;Berlin;-3;Edward W. Greenman>New York (state)>Los Angeles>Berlin
Georg Ruge;/people/person/place_of_birth;Berlin;-3;Georg Ruge>University of Berlin>Germany>Berlin
Erich Franz Eugen Bracht;/people/person/place_of_birth;Berlin;-1;Erich Franz Eugen Bracht>Ludwig Aschoff>Germany>Berlin
Erich Werdermann;/people/person/place_of_birth;Berlin;5;Erich Werdermann>Jena>Erfurt>Berlin
Thomas Sasse;/people/person/place_of_birth;Berlin;-3;Thomas Sasse was not a valid article
Samuel von Schmettau;/people/person/place_of_birth;Berlin;5;Samuel von Schmettau>field marshal>Germany>Berlin
Elfie Wörner;/people/person/place_of_birth;Berlin;5;Elfie Wörner>Munich>Bavaria>Berlin
Ernst Mehlich;/people/person/place_of_birth;Berlin;5;Ernst Mehlich>German Empire>Berlin
Johann Christoph Friedrich Klug;/people/person/place_of_birth;Berlin;5;Johann Christoph Friedrich Klug>Germany>Berlin
Max Lehmann;/people/person/place_of_birth;Berlin;5;Max Lehmann>Germany>Berlin
Monika Meyer (footballer);/people/person/place_of_birth;Berlin;5;Monika Meyer (footballer)>1. FFC Frankfurt>Frankfurt>Berlin
Jan Paweł Nowacki;/people/person/place_of_birth;Berlin;5;Jan Paweł Nowacki>Warsaw>European Union>Berlin
Moritz Litten;/people/person/place_of_birth;Berlin;-5;Moritz Litten>University of Heidelberg>Germany>Berlin
Carl Anton Ewald;/people/person/place_of_birth;Berlin;-3;Carl Anton Ewald>Germany>Berlin
Franz Ludwig Catel;/people/person/place_of_birth;Berlin;5;Franz Ludwig Catel>Rome>Europe>Berlin
Karl Friedrich von Klöden;/people/person/place_of_birth;Berlin;5;Karl Friedrich von Klöden>Cologne>Berlin
Julius Zupitza;/people/person/place_of_birth;Berlin;-3;Julius Zupitza>Upper Silesia>German Empire>Berlin
Käte Stresemann;/people/person/place_of_birth;Berlin;3;Käte Stresemann>Lankwitz>Brandenburg>Berlin
Meike Evers;/people/person/place_of_birth;Berlin;5;Meike Evers>rowing (sport)>London>Berlin
J. J. Stevenson;/people/person/place_of_birth;Glasgow;5;J. J. Stevenson>Edinburgh>Glasgow
Thomas Barclay (missionary);/people/person/place_of_birth;Glasgow;5;Thomas Barclay (missionary)>Scotland>Glasgow
Thomas Atkinson (poet);/people/person/place_of_birth;Glasgow;-3;Thomas Atkinson (poet)>Scotland>Glasgow
Kris Kane;/people/person/place_of_birth;Glasgow;5;Kris Kane>Scotland>Glasgow
Robert McCrindle;/people/person/place_of_birth;Glasgow;5;Robert McCrindle>City of London>Glasgow
Julia Goss;/people/person/place_of_birth;Glasgow;-3;Julia Goss>Gilbert and Sullivan>Arthur Sullivan>Glasgow
Hugh Fraser, 1st Baron Fraser of Allander;/people/person/place_of_birth;Glasgow;5;Hugh Fraser, 1st Baron Fraser of Allander>Scotland>Glasgow
Alan Thomson (musician);/people/person/place_of_birth;Glasgow;5;Alan Thomson (musician)>Folk music>May Day>Glasgow
William Atherton (lawyer);/people/person/place_of_birth;Glasgow;5;William Atherton (lawyer)>William Atherton (politician)>Queen's Counsel>City of London>Glasgow
Mary Ann Kennedy (Scottish singer);/people/person/place_of_birth;Glasgow;5;Mary Ann Kennedy (Scottish singer)>Scotland>Glasgow
Albert McElroy;/people/person/place_of_birth;Glasgow;5;Albert McElroy>Oxford>Glasgow
Mary Macmaster;/people/person/place_of_birth;Glasgow;5;Mary Macmaster>Scottish Gaelic>Glasgow
Thomas Haughey;/people/person/place_of_birth;Glasgow;5;Thomas Haughey>Kentucky>Glasgow
James A. MacAlister;/people/person/place_of_birth;Glasgow;5;James A. MacAlister>Scotland>Glasgow
Lynn Faulds Wood;/people/person/place_of_birth;Glasgow;5;Lynn Faulds Wood>TV-am>London>Glasgow
Denis McQuade;/people/person/place_of_birth;Glasgow;5;Denis McQuade>Association football>Glasgow
Kenny Brannigan;/people/person/place_of_birth;Glasgow;5;Kenny Brannigan>Association football>Glasgow
Douglas Simpson;/people/person/place_of_birth;Glasgow;5;Douglas Simpson>Scotland>Glasgow
Ian Steel;/people/person/place_of_birth;Glasgow;5;Ian Steel>Berlin>Glasgow
John Stewart Kennedy;/people/person/place_of_birth;Glasgow;-5;John Stewart Kennedy>Andrew Carnegie>Glasgow
William Carstares;/people/person/place_of_birth;Glasgow;-5;William Carstares>Edinburgh>Glasgow
Henry Boyd;/people/person/place_of_birth;Glasgow;-5;Henry Boyd>Henry Boyd (footballer)>Association football>Glasgow
David Marshall Mason;/people/person/place_of_birth;Glasgow;-5;David Marshall Mason>Edinburgh>Glasgow
Adam McLean;/people/person/place_of_birth;Glasgow;5;Adam McLean>Hermeticism>Walter Scott>Glasgow
Thomas Gardiner (publisher);/people/person/place_of_birth;Glasgow;-5;Thomas Gardiner (publisher)>Kilmarnock, Scotland>Industrial Revolution>Glasgow
George Henry Walton;/people/person/place_of_birth;Glasgow;5;George Henry Walton>York>Glasgow
Vishal Marwaha;/people/person/place_of_birth;Glasgow;5;Vishal Marwaha>Scotland>Glasgow
Fergus Morton, Baron Morton of Henryton;/people/person/place_of_birth;Glasgow;5;Fergus Morton, Baron Morton of Henryton>United Kingdom>Glasgow
Jamielee McPherson;/people/person/place_of_birth;Glasgow;5;Jamielee McPherson was not a valid article
John Stephen;/people/person/place_of_birth;Glasgow;5;John Stephen>Carnaby Street>London>Glasgow
Pat Gerber;/people/person/place_of_birth;Glasgow;5;Pat Gerber>Scotland>Glasgow
James Nisbet;/people/person/place_of_birth;Glasgow;-5;James Nisbet>London>Glasgow
James Kinlay;/people/person/place_of_birth;Glasgow;5;James Kinlay>Sunday Express>London>Glasgow
Jimmy Cooper (musician);/people/person/place_of_birth;Glasgow;-5;Jimmy Cooper (musician)>Scotland>Glasgow
Randolph Colville;/people/person/place_of_birth;Glasgow;5;Randolph Colville>Scotland>Glasgow
Walter Douglas;/people/person/place_of_birth;Glasgow;5;Walter Douglas>Glasgow, Scotland>River Clyde>Glasgow
Ken Ritchie;/people/person/place_of_birth;Glasgow;5;Ken Ritchie>Scotland>Glasgow
Jonathan Shearer;/people/person/place_of_birth;Glasgow;5;Jonathan Shearer>Scotland>Glasgow
John Baird (Wolverhampton MP);/people/person/place_of_birth;Glasgow;5;John Baird (Wolverhampton MP)>London>Glasgow
John Junor;/people/person/place_of_birth;Glasgow;5;John Junor>University of Glasgow>Glasgow
Louisa Stevenson;/people/person/place_of_birth;Glasgow;5;Louisa Stevenson>Edinburgh>Glasgow
John Fisher (opera director);/people/person/place_of_birth;Glasgow;5;John Fisher (opera director)>University of Glasgow>Glasgow
Christopher Whyte;/people/person/place_of_birth;Glasgow;5;Christopher Whyte>Dublin>Glasgow
Henry Saxe;/people/person/place_of_birth;Montreal;5;Henry Saxe>Quebec>French language>Montreal
Christopher Benfield Carter;/people/person/place_of_birth;Montreal;5;Christopher Benfield Carter>Quebec Liberal Party>Responsible government>Montreal
Kris Lefcoe;/people/person/place_of_birth;Montreal;5;Kris Lefcoe>Quebec>French language>Montreal
William Reed (musician);/people/person/place_of_birth;Montreal;5;William Reed (musician)>anthem>Greece>Montreal
Gerry Markman;/people/person/place_of_birth;Montreal;5;Gerry Markman>Ontario>Montreal
François Desjardins;/people/person/place_of_birth;Montreal;5;François Desjardins>Laurentian Bank of Canada>President>Haiti>Montreal
Marcel Faribault;/people/person/place_of_birth;Montreal;5;Marcel Faribault>Canadians>Haiti>Montreal
Antoine Ouilmette;/people/person/place_of_birth;Montreal;-5;Antoine Ouilmette>Chicago>Los Angeles>Montreal
Gilles Latulippe;/people/person/place_of_birth;Montreal;5;Gilles Latulippe>Quebec>French language>Montreal
John McKay (pianist);/people/person/place_of_birth;Montreal;5;John McKay (pianist)>Clermont Pépin>Paris>Montreal
Donald Steven;/people/person/place_of_birth;Montreal;5;Donald Steven>Montréal, Québec>French language>Montreal
Léo Lévesque;/people/person/place_of_birth;Montreal;5;Léo Lévesque>Montréal>French language>Montreal
Alain Boire;/people/person/place_of_birth;Montreal;5;Alain Boire>Quebec>French language>Montreal
Lionel Tiger;/people/person/place_of_birth;Montreal;5;Lionel Tiger>Quebec>French language>Montreal
Merlin Bronques;/people/person/place_of_birth;Montreal;-3;Merlin Bronques>Brooklyn>Los Angeles>Montreal
Bill Downe;/people/person/place_of_birth;Montreal;5;Bill Downe>Quebec>French language>Montreal
Sébastien Leblanc;/people/person/place_of_birth;Montreal;5;Sébastien Leblanc>Fredericton>Montreal
Albert Chamberland;/people/person/place_of_birth;Montreal;5;Albert Chamberland>His Master's Voice>London>Montreal
Jean Désy;/people/person/place_of_birth;Montreal;5;Jean Désy>Paris>Montreal
Ira Vail;/people/person/place_of_birth;Montreal;3;Ira Vail>Canadian-American>French language>Montreal
Rodolphe Monty;/people/person/place_of_birth;Montreal;5;Rodolphe Monty>Secretary of State for Canada>London>Montreal
Wayne Eagling;/people/person/place_of_birth;Montreal;5;Wayne Eagling>Quebec>French language>Montreal
Romain Pelletier;/people/person/place_of_birth;Montreal;5;Romain Pelletier>fugue>Berlin>Montreal
Howard Grant (boxer);/people/person/place_of_birth;Montreal;-3;Howard Grant (boxer)>Jamaica>Montreal
Théophile Bruguier;/people/person/place_of_birth;Montreal;-5;Théophile Bruguier>French-Canadian>New Brunswick>Montreal
John Mahaffy (ice hockey);/people/person/place_of_birth;Montreal;5;John Mahaffy (ice hockey)>Ice hockey>Montreal
Yolande Thibeault;/people/person/place_of_birth;Montreal;5;Yolande Thibeault>Quebec>French language>Montreal
Norman Spector;/people/person/place_of_birth;Montreal;5;Norman Spector>Ontario>Montreal
René Gagnier;/people/person/place_of_birth;Montreal;5;René Gagnier>waltz>Greece>Montreal
Thomas Morland;/people/person/place_of_birth;Montreal;5;Thomas Morland>Nigeria>Montreal
Emmanuel Aquin;/people/person/place_of_birth;Montreal;5;Emmanuel Aquin>French language>Montreal
Gérald Gagnier;/people/person/place_of_birth;Montreal;3;Gérald Gagnier>The Canadian Encyclopedia>Canadian English>Montreal
Pierre Alexandre Tremblay;/people/person/place_of_birth;Montreal;5;Pierre Alexandre Tremblay>electroacoustic music>Paris>Montreal
Pierre de Savoye;/people/person/place_of_birth;Montreal;5;Pierre de Savoye>Quebec>French language>Montreal
David Atkinson (baritone);/people/person/place_of_birth;Montreal;5;David Atkinson (baritone)>The New York Times>London>Montreal
Lynne Kositsky;/people/person/place_of_birth;Montreal;5;Lynne Kositsky>Great Famine (Ireland)>Montreal
Gordon Stevenson;/people/person/place_of_birth;Dublin;-1;Gordon Stevenson>Dublin, Georgia>Republic of Ireland>Dublin
Thomas Southerne;/people/person/place_of_birth;Dublin;-5;Thomas Southerne>London>Dublin
Seamus Martin;/people/person/place_of_birth;Dublin;5;Seamus Martin>Moscow>Dublin
Nathaniel Buchanan;/people/person/place_of_birth;Dublin;-5;Nathaniel Buchanan>Australia>British Isles>Dublin
Vivion de Valera;/people/person/place_of_birth;Dublin;5;Vivion de Valera>Fianna Fáil>Dublin
Jim Grace (Irish footballer);/people/person/place_of_birth;Dublin;5;Jim Grace (Irish footballer) was not a valid article
Fiachna Ó Braonáin;/people/person/place_of_birth;Dublin;5;Fiachna Ó Braonáin>Hothouse Flowers>The Pogues>Dublin
Henry Ussher;/people/person/place_of_birth;Dublin;5;Henry Ussher>Church of Ireland>John, King of England>Dublin
Jason Colwell;/people/person/place_of_birth;Dublin;5;Jason Colwell>Republic of Ireland>Dublin
Derek Murray (soccer);/people/person/place_of_birth;Dublin;5;Derek Murray (soccer) was not a valid article
Stephen Gough (footballer);/people/person/place_of_birth;Dublin;5;Stephen Gough (footballer)>Republic of Ireland>Dublin
John Allen (Irish nationalist);/people/person/place_of_birth;Dublin;-3;John Allen (Irish nationalist)>Dublin, Ireland>Republic of Ireland>Dublin
Ed Pimm;/people/person/place_of_birth;Dublin;-5;Ed Pimm>Chevrolet>Opel>Dublin
Lee King;/people/person/place_of_birth;Dublin;5;undefined
Richard Collins, Baron Collins;/people/person/place_of_birth;Dublin;5;Richard Collins, Baron Collins>London>Dublin
Dave Connell;/people/person/place_of_birth;Dublin;5;Dave Connell>Republic of Ireland>Dublin
Alan Aboud;/people/person/place_of_birth;Dublin;5;Alan Aboud>Republic of Ireland>Dublin
Heartsill Ragon;/people/person/place_of_birth;Dublin;-5;Heartsill Ragon>Franklin D. Roosevelt>Winston Churchill>Dublin
Graham Doyle;/people/person/place_of_birth;Dublin;5;Graham Doyle>Republic of Ireland>Dublin
Martin Duffy (footballer);/people/person/place_of_birth;Dublin;5;Martin Duffy (footballer) was not a valid article
Brian O'Riordan;/people/person/place_of_birth;Dublin;5;Brian O'Riordan>Rugby football>Dublin
Terry Eviston;/people/person/place_of_birth;Dublin;5;Terry Eviston>Bohemian F.C.>Republic of Ireland>Dublin
Walley Chamberlain Oulton;/people/person/place_of_birth;Dublin;5;Walley Chamberlain Oulton>Smock Alley Theatre>Republic of Ireland>Dublin
Shay Gibbons;/people/person/place_of_birth;Dublin;5;Shay Gibbons>Bohemians F.C.>Republic of Ireland>Dublin
William Sadler (painter);/people/person/place_of_birth;Dublin;-5;William Sadler (painter)>Irish people>Demographics of the Republic of Ireland>Dublin
Catherine Wellesley, Duchess of Wellington;/people/person/place_of_birth;Dublin;5;Catherine Wellesley, Duchess of Wellington>Arthur Wellesley, 1st Duke of Wellington>Dublin
John O'Conor;/people/person/place_of_birth;Dublin;5;John O'Conor>Prague>Dublin
Marcus Tuite;/people/person/place_of_birth;Dublin;3;Marcus Tuite was not a valid article
Gladys Henson;/people/person/place_of_birth;Dublin;5;Gladys Henson>St Stephen's Green>Easter Rising>Dublin
Leslie Paul;/people/person/place_of_birth;Dublin;5;Leslie Paul>Moscow>Dublin
John Savage (Fenian);/people/person/place_of_birth;Dublin;5;John Savage (Fenian)>New York (state)>Hedge fund>Dublin
Henry Bernard Carpenter;/people/person/place_of_birth;Dublin;3;Henry Bernard Carpenter>Unitarianism>Oslo>Dublin
John Sheridan Hogan;/people/person/place_of_birth;Dublin;-5;John Sheridan Hogan>Ireland>Europe>Dublin
Paddy Crowley;/people/person/place_of_birth;Dublin;5;Paddy Crowley was not a valid article
Jimmy Gregg;/people/person/place_of_birth;Dublin;5;Jimmy Gregg>Shamrock Rovers>Taoiseach>Dublin
John Henry (spy);/people/person/place_of_birth;Dublin;3;John Henry (spy)>Federalist party>Benjamin Franklin>Dublin
Alfred Downward;/people/person/place_of_birth;Melbourne;5;Alfred Downward>Prahran, Victoria>Australian rules football>Melbourne
Michael Birt;/people/person/place_of_birth;Melbourne;5;Michael Birt>Michael Birt (biochemist)>Order of Australia>Gough Whitlam>Melbourne
Shane Price;/people/person/place_of_birth;Melbourne;5;Shane Price>Holden>Melbourne
Victoria LePage;/people/person/place_of_birth;Melbourne;5;Victoria LePage was not a valid article
Jennifer Holliday (softball);/people/person/place_of_birth;Melbourne;5;Jennifer Holliday (softball)>Olympic Games>Melbourne
Mary Cecil Allen;/people/person/place_of_birth;Melbourne;5;Mary Cecil Allen>Cubism>Art Deco>Melbourne
Roy Dalgarno;/people/person/place_of_birth;Melbourne;5;Roy Dalgarno>Ballarat>Melbourne
Maggie Fitzgibbon;/people/person/place_of_birth;Melbourne;5;Maggie Fitzgibbon>Kenn Brodziak>Sydney>Melbourne
Robert Moss;/people/person/place_of_birth;Melbourne;5;Robert Moss>Victoria (Australia)>New South Wales>Melbourne
George Johnston (general);/people/person/place_of_birth;Melbourne;5;George Johnston (general)>Australian Army>Melbourne
Winifred Lewellin James;/people/person/place_of_birth;Melbourne;-3;Winifred Lewellin James>London>Melbourne
Adam Bright;/people/person/place_of_birth;Melbourne;5;Adam Bright>Ray Bright>Manchester>Melbourne
Daniel Sproule;/people/person/place_of_birth;Melbourne;5;Daniel Sproule>Kuala Lumpur>Melbourne
Nicholas Colla;/people/person/place_of_birth;Melbourne;5;Nicholas Colla>Neighbours>Soap opera>Melbourne
Carey Beebe;/people/person/place_of_birth;Melbourne;5;Carey Beebe>harpsichord>Munich>Melbourne
Amber Parkinson;/people/person/place_of_birth;Melbourne;5;Amber Parkinson>Australia>Sydney>Melbourne
