subject;predicate;object;score
Ann D. Gordon;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles Lowder;/people/person/education./education/education/degree;Bachelor of Arts;5
Edward Joseph Young;/people/person/education./education/education/degree;Bachelor of Arts;5
Steven Schiff;/people/person/education./education/education/degree;Bachelor of Arts;5
Eugene Allen Wright;/people/person/education./education/education/degree;Bachelor of Arts;5
Benjamin Franklin Bledsoe;/people/person/education./education/education/degree;Bachelor of Arts;5
Tom Freston;/people/person/education./education/education/degree;Bachelor of Arts;5
Fred Hochberg;/people/person/education./education/education/degree;Bachelor of Arts;5
Lorin Morgan-Richards;/people/person/education./education/education/degree;Bachelor of Arts;-1
Don Suggs;/people/person/education./education/education/degree;Bachelor of Arts;5
David Pakman;/people/person/education./education/education/degree;Bachelor of Arts;-1
Thomas Jennings Bailey;/people/person/education./education/education/degree;Bachelor of Arts;5
After This;/people/person/education./education/education/degree;Bachelor of Arts;5
Gary L. Taylor;/people/person/education./education/education/degree;Bachelor of Arts;5
Harold Kenneth Wood;/people/person/education./education/education/degree;Bachelor of Arts;5
Joshua Knobe;/people/person/education./education/education/degree;Bachelor of Arts;5
James R. Leininger;/people/person/education./education/education/degree;Bachelor of Arts;1
Hubert Louis Will;/people/person/education./education/education/degree;Bachelor of Arts;5
Glenn M. Anderson;/people/person/education./education/education/degree;Bachelor of Arts;5
Meredith Kline;/people/person/education./education/education/degree;Bachelor of Arts;5
Lowell H. Harrison;/people/person/education./education/education/degree;Bachelor of Arts;5
Walter Lyndon Pope;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles Ferguson Paul;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert P. Anderson;/people/person/education./education/education/degree;Bachelor of Arts;5
Sam Means;/people/person/education./education/education/degree;Bachelor of Arts;5
Wade Sanders;/people/person/education./education/education/degree;Bachelor of Arts;5
William A. Fletcher;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles E. Stewart, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Ada Louise Huxtable;/people/person/education./education/education/degree;Bachelor of Arts;5
Frederick Jacob Reagan Heebe;/people/person/education./education/education/degree;Bachelor of Arts;5
Floyd Robert Gibson;/people/person/education./education/education/degree;Bachelor of Arts;-1
Marcel Livaudais, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
James W. Pennebaker;/people/person/education./education/education/degree;Bachelor of Arts;5
Andrew Augustine Caffrey;/people/person/education./education/education/degree;Bachelor of Arts;5
James Patrick Leamy;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert Firth;/people/person/education./education/education/degree;Bachelor of Arts;5
Donald Ellsworth Walter;/people/person/education./education/education/degree;Bachelor of Arts;5
Mildred L. Batchelder;/people/person/education./education/education/degree;Bachelor of Arts;5
Quincy Wright;/people/person/education./education/education/degree;Bachelor of Arts;5
Craig S. Keener;/people/person/education./education/education/degree;Bachelor of Arts;5
William Mather Lewis;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles Andrew Willard;/people/person/education./education/education/degree;Bachelor of Arts;5
Mirko Malez;/people/person/education./education/education/degree;Bachelor of Arts;1
Duncan Kennedy;/people/person/education./education/education/degree;Bachelor of Arts;3
Chuck Moss;/people/person/education./education/education/degree;Bachelor of Arts;5
Willie Louis Sands;/people/person/education./education/education/degree;Bachelor of Arts;5
Aldon Junior Anderson;/people/person/education./education/education/degree;Bachelor of Arts;5
Floyd Skloot;/people/person/education./education/education/degree;Bachelor of Arts;5
John William Clancy;/people/person/education./education/education/degree;Bachelor of Arts;5
Emanuel Mac Troutman;/people/person/education./education/education/degree;Bachelor of Arts;5
Miriam N. Kotzin;/people/person/education./education/education/degree;Bachelor of Arts;5
Malcolm Hoenlein;/people/person/education./education/education/degree;Bachelor of Arts;5
Gerald Joseph Weber;/people/person/education./education/education/degree;Bachelor of Arts;5
Joel A. Pisano;/people/person/education./education/education/degree;Bachelor of Arts;5
Daniel John Snyder, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
James William Armstrong;/people/person/education./education/education/degree;Bachelor of Arts;5
Wayne Edward Alley;/people/person/education./education/education/degree;Bachelor of Arts;5
Richard L. Sandor;/people/person/education./education/education/degree;Bachelor of Arts;5
Kenneth O. Hanson;/people/person/education./education/education/degree;Bachelor of Arts;5
Weston T. Borden;/people/person/education./education/education/degree;Bachelor of Arts;5
Edgar Gold;/people/person/education./education/education/degree;Bachelor of Arts;5
Bruce MacFarlane;/people/person/education./education/education/degree;Bachelor of Arts;5
Walter Brueggemann;/people/person/education./education/education/degree;Bachelor of Arts;5
Mary Patterson McPherson;/people/person/education./education/education/degree;Bachelor of Arts;5
Roger Gordon Strand;/people/person/education./education/education/degree;Bachelor of Arts;5
Dana A. Simmons;/people/person/education./education/education/degree;Bachelor of Arts;5
Ian Schrager;/people/person/education./education/education/degree;Bachelor of Arts;5
William H. Quillian;/people/person/education./education/education/degree;Bachelor of Arts;5
Ernest Allen Guinn;/people/person/education./education/education/degree;Bachelor of Arts;5
James L. Graham;/people/person/education./education/education/degree;Bachelor of Arts;5
Benjamin Hale Settle;/people/person/education./education/education/degree;Bachelor of Arts;5
Devin Wenig;/people/person/education./education/education/degree;Bachelor of Arts;-1
Michael Posner (lawyer);/people/person/education./education/education/degree;Bachelor of Arts;5
Marilyn Horowitz;/people/person/education./education/education/degree;Bachelor of Arts;5
Tony Lourey;/people/person/education./education/education/degree;Bachelor of Arts;5
Richard Pillard;/people/person/education./education/education/degree;Bachelor of Arts;5
Kevin Mattson;/people/person/education./education/education/degree;Bachelor of Arts;5
Ross Thompson Roberts;/people/person/education./education/education/degree;Bachelor of Arts;5
Brian Caswell;/people/person/education./education/education/degree;Bachelor of Arts;5
James Francis Thaddeus O'Connor;/people/person/education./education/education/degree;Bachelor of Arts;5
David J. McDonald, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Tim LaHaye;/people/person/education./education/education/degree;Bachelor of Arts;5
Smadar Rosensweig;/people/person/education./education/education/degree;Bachelor of Arts;5
Solomon Oliver Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Todd Hollenbach;/people/person/education./education/education/degree;Bachelor of Arts;5
Doug Struyk;/people/person/education./education/education/degree;Bachelor of Arts;5
David Agema;/people/person/education./education/education/degree;Bachelor of Arts;5
Philip P. Simon;/people/person/education./education/education/degree;Bachelor of Arts;5
Kathleen Fitzpatrick (American academic);/people/person/education./education/education/degree;Bachelor of Arts;5
Susan J. Dlott;/people/person/education./education/education/degree;Bachelor of Arts;5
Joseph Carmine Zavatt;/people/person/education./education/education/degree;Bachelor of Arts;5
Michael E. Krauss;/people/person/education./education/education/degree;Bachelor of Arts;5
George Uribe;/people/person/education./education/education/degree;Bachelor of Arts;5
George Caram Steeh III;/people/person/education./education/education/degree;Bachelor of Arts;5
Mark McGurl;/people/person/education./education/education/degree;Bachelor of Arts;5
William Irwin Thompson;/people/person/education./education/education/degree;Bachelor of Arts;5
Sylvia H. Rambo;/people/person/education./education/education/degree;Bachelor of Arts;5
Dennis Baron;/people/person/education./education/education/degree;Bachelor of Arts;5
Neil Staebler;/people/person/education./education/education/degree;Bachelor of Arts;5
Paul S. Diamond;/people/person/education./education/education/degree;Bachelor of Arts;5
Lewis A. Kaplan;/people/person/education./education/education/degree;Bachelor of Arts;5
Connie Brockway;/people/person/education./education/education/degree;Bachelor of Arts;5
Casper Platt;/people/person/education./education/education/degree;Bachelor of Arts;5
Harry Daniel Leinenweber;/people/person/education./education/education/degree;Bachelor of Arts;5
Thomas C. Reeves;/people/person/education./education/education/degree;Bachelor of Arts;5
Joseph Campbell (accountant);/people/person/education./education/education/degree;Bachelor of Arts;5
Peter Makuck;/people/person/education./education/education/degree;Bachelor of Arts;5
Harrison Lee Winter;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles Fremont Amidon;/people/person/education./education/education/degree;Bachelor of Arts;5
Yoram Hazony;/people/person/education./education/education/degree;Bachelor of Arts;1
Matthew Zapruder;/people/person/education./education/education/degree;Bachelor of Arts;5
A. Andrew Hauk;/people/person/education./education/education/degree;Bachelor of Arts;5
Jean Constance Hamilton;/people/person/education./education/education/degree;Bachelor of Arts;5
Elizabeth Searle;/people/person/education./education/education/degree;Bachelor of Arts;5
C. Fred Bergsten;/people/person/education./education/education/degree;Bachelor of Arts;5
Ray Fair;/people/person/education./education/education/degree;Bachelor of Arts;5
Philip D. Gingerich;/people/person/education./education/education/degree;Bachelor of Arts;3
W. Allen Pepper Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Lawrence Bergman;/people/person/education./education/education/degree;Bachelor of Arts;5
Edwin G. Corr;/people/person/education./education/education/degree;Bachelor of Arts;5
Lloyd Hudson Burke;/people/person/education./education/education/degree;Bachelor of Arts;5
Christopher Bentley;/people/person/education./education/education/degree;Bachelor of Arts;5
Richard Ford;/people/person/education./education/education/degree;Bachelor of Arts;1
Charles Holland Duell;/people/person/education./education/education/degree;Bachelor of Arts;5
Christopher Looby;/people/person/education./education/education/degree;Bachelor of Arts;5
Bailey Brown;/people/person/education./education/education/degree;Bachelor of Arts;5
Mary Johnson Lowe;/people/person/education./education/education/degree;Bachelor of Arts;5
Ron Padgett;/people/person/education./education/education/degree;Bachelor of Arts;5
Frederic Block;/people/person/education./education/education/degree;Bachelor of Arts;5
Gordon L. Brady;/people/person/education./education/education/degree;Bachelor of Arts;5
Edward Terry Sanford;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles Andrew Muecke;/people/person/education./education/education/degree;Bachelor of Arts;5
Steven L. Kent;/people/person/education./education/education/degree;Bachelor of Arts;5
William H. Pauley III;/people/person/education./education/education/degree;Bachelor of Arts;5
Evan Alfred Evans;/people/person/education./education/education/degree;Bachelor of Arts;5
Shackelford Miller, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Myron Donovan Crocker;/people/person/education./education/education/degree;Bachelor of Arts;5
Herbert Choy;/people/person/education./education/education/degree;Bachelor of Arts;5
Jules Olitski;/people/person/education./education/education/degree;Bachelor of Arts;1
Sandra Lynch;/people/person/education./education/education/degree;Bachelor of Arts;5
Sandra Beckwith;/people/person/education./education/education/degree;Bachelor of Arts;5
David G. Dalin;/people/person/education./education/education/degree;Bachelor of Arts;5
Douglas Hodgkin;/people/person/education./education/education/degree;Bachelor of Arts;5
Richard Festinger;/people/person/education./education/education/degree;Bachelor of Arts;5
James Lawrence King;/people/person/education./education/education/degree;Bachelor of Arts;5
Amy Kellogg;/people/person/education./education/education/degree;Bachelor of Arts;1
Michael Wishnie;/people/person/education./education/education/degree;Bachelor of Arts;5
Neil Vincent Wake;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles C. Barham;/people/person/education./education/education/degree;Bachelor of Arts;5
Ghebre Selassie Mehreteab;/people/person/education./education/education/degree;Bachelor of Arts;3
William Perry Copple;/people/person/education./education/education/degree;Bachelor of Arts;5
Frank Howell Seay;/people/person/education./education/education/degree;Bachelor of Arts;5
David R. Herndon;/people/person/education./education/education/degree;Bachelor of Arts;5
Thomas Roberts McMillen;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles Lynwood Smith, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
John Carbone Porfilio;/people/person/education./education/education/degree;Bachelor of Arts;5
Stanley Cooperman;/people/person/education./education/education/degree;Bachelor of Arts;5
Julia Smith Gibbons;/people/person/education./education/education/degree;Bachelor of Arts;5
Albert Gerard Schatz;/people/person/education./education/education/degree;Bachelor of Arts;5
Timothy J. Savage;/people/person/education./education/education/degree;Bachelor of Arts;5
Arthur Tarnow;/people/person/education./education/education/degree;Bachelor of Arts;5
Edmund V. Ludwig;/people/person/education./education/education/degree;Bachelor of Arts;5
Rob Erdle;/people/person/education./education/education/degree;Bachelor of Arts;5
William Royal Furgeson, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Theodore Schick;/people/person/education./education/education/degree;Bachelor of Arts;5
Eban Goodstein;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles G. Boyd;/people/person/education./education/education/degree;Bachelor of Arts;5
Richard Leach;/people/person/education./education/education/degree;Bachelor of Arts;5
Thomas J. Whelan (judge);/people/person/education./education/education/degree;Bachelor of Arts;5
William Overton (judge);/people/person/education./education/education/degree;Bachelor of Arts;3
F. A. Little, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
David Dortch Warriner;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles Edward Wyzanski, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Akira Iriye;/people/person/education./education/education/degree;Bachelor of Arts;5
Anthony Julian;/people/person/education./education/education/degree;Bachelor of Arts;5
Mark Starowicz;/people/person/education./education/education/degree;Bachelor of Arts;5
Xenophon Hicks;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert William Gettleman;/people/person/education./education/education/degree;Bachelor of Arts;1
Earl F. Hilliard;/people/person/education./education/education/degree;Bachelor of Arts;5
Miranda Du;/people/person/education./education/education/degree;Bachelor of Arts;5
Cormac J. Carney;/people/person/education./education/education/degree;Bachelor of Arts;5
David R. Hansen;/people/person/education./education/education/degree;Bachelor of Arts;5
